Loc,Lat,Lon,Arable land
Bangladesh,23.7055,90.4113,60.4908965199355
Denmark,55.6763,12.5681,58.925
Ukraine,50.4536,30.5038,56.8243010010356
Moldova,47.0167,28.8497,56.4609303739739
India,28.6353,77.225,51.8513672856427
Rwanda,-1.95325,30.0587,51.4146736927442
Burundi,-3.3784,29.3639,49.4548286604361
Togo,6.1228,1.2255,48.7221915793344
Hungary,47.4984,19.0408,45.3616524216524
"Gambia, The",13.4495,-16.5885,43.4782608695652
Malawi,-13.9899,33.7703,42.4268137462877
Isle of Man,54.1509,-4.47928,40.7017543859649
Nigeria,9.05804,7.48906,40.4844252665327
Pakistan,30.5167,72.8,39.2797841427978
Mauritius,-20.1605,57.4977,37.5563345017526
Romania,44.4479,26.0979,37.3261474269819
Haiti,18.5392,-72.3288,36.4658925979681
Lithuania,54.6896,25.2799,36.3999361124421
Poland,52.26,21.02,36.1940542306436
Comoros,-11.6986,43.2418,34.9274583557227
El Salvador,13.7034,-89.2073,34.7972972972973
Uganda,0.314269,32.5729,34.4105326152005
Germany,52.5235,13.4115,33.3667248633332
San Marino,43.9322,12.4486,33.0833333333333
Bulgaria,42.7105,23.3238,32.2402358142962
Czechia,50.0878,14.4205,32.0693957764556
Thailand,13.7308,100.521,31.6905791853432
France,48.8566,2.35097,31.5621764542165
Serbia,44.8024,20.4656,31.0976334879296
Benin,6.4779,2.6323,30.9233283079106
Netherlands,52.3738,4.89095,29.7891297891298
Burkina Faso,12.3605,-1.53395,28.4413676900585
Belgium,50.8371,4.36761,28.3872237161409
Cuba,23.1333,-82.3667,28.0211946050096
Tonga,-21.136,-175.216,27.7777777777778
Belarus,53.9678,27.5766,27.7112589307711
Slovak Republic,48.1484,17.1073,27.5790349417637
Turkiye,39.7153,32.3606,25.8318932474046
Azerbaijan,40.3834,49.8932,25.275257108288
United Kingdom,51.5002,-0.126236,24.8410870913074
Syrian Arab Republic,33.5146,36.3119,24.6694140391004
Malta,35.9042,14.5189,24.375
Italy,41.8955,12.4823,24.3232955832773
Luxembourg,49.61,6.1296,24.2660596785345
Cambodia,11.5556,104.874,23.3409228416044
Spain,40.4167,-3.70327,23.112437562789
Sri Lanka,6.92148,79.8528,22.1791141286777
Sierra Leone,8.4821,-13.2134,21.9451371571072
Albania,41.3317,19.8172,21.8941605839416
Latvia,56.9465,24.1048,21.8865498955488
Viet Nam,21.0069,105.825,21.6740633444895
Guinea,9.51667,-13.7,21.3538258993977
Ghana,5.57045,-0.20795,20.6998545265961
Senegal,14.7247,-17.4734,19.893003687737
Bosnia and Herzegovina,43.8607,18.4214,19.6875
St. Kitts and Nevis,17.3,-62.7309,19.2307692307692
"Korea, Dem. People's Rep.",39.0319,125.754,19.0598787476123
Philippines,14.5515,121.035,18.7476942683704
Dominican Republic,18.479,-69.8908,18.7447886863402
Tunisia,36.7899,10.21,18.2241246138002
Myanmar,21.914,95.9562,16.8385248287802
United States,38.8895,-77.032,16.6944952784501
North Macedonia,42.0024,21.4361,16.5344964314036
Estonia,59.4392,24.7586,16.374269005848
Barbados,13.0935,-59.6105,16.2790697674419
Austria,48.2201,16.3798,16.0315232670868
Morocco,33.9905,-6.8704,15.9842189110464
Armenia,40.1596,44.509,15.7257362373209
Argentina,-34.6118,-58.4173,15.4306845130431
Croatia,45.8069,15.9614,15.3145103645461
Tanzania,-6.17486,35.7382,15.2432829081057
Ethiopia,9.02274,38.7468,14.560115607756
Guatemala,14.6248,-90.5328,14.501679731243
Greece,37.9792,23.7166,14.0607439875873
Guinea-Bissau,11.8037,-15.1804,14.0239971550498
Niger,13.514,2.1073,13.9733164916713
Lebanon,33.8872,35.5134,13.8435679374389
Cote d'Ivoire,5.332,-4.0305,13.8043987421384
"Korea, Rep.",37.5323,126.957,13.7602459016393
Cameroon,3.8721,11.5174,13.1158638488714
Maldives,4.1742,73.5109,13.0
Nepal,27.6939,85.3157,12.8107938611789
Israel,31.7717,35.2035,12.5924214417745
Nicaragua,12.1475,-86.2734,12.4896127638358
Cabo Verde,14.9218,-23.5087,12.4069478908189
Afghanistan,34.5228,69.1761,12.0034343713107
China,40.0495,116.286,11.6065788899055
Uruguay,-34.8941,-56.0675,11.6043880699349
Iraq,33.3302,44.394,11.4458802662797
Kenya,-1.27975,36.8126,11.4175064467254
Sudan,15.5932,32.5363,11.2392933618844
Japan,35.67,139.77,11.2098765432099
Paraguay,-25.3005,-57.6362,11.1639020891014
Mexico,19.427,-99.1276,11.1488039301422
Aruba,12.5167,-70.0167,11.1111111111111
Jamaica,17.9927,-76.792,11.0803324099723
Kazakhstan,51.1879,71.4382,10.9899988887654
Liechtenstein,47.1411,9.52148,10.8125
Portugal,38.7072,-9.13552,10.564565921734
Zimbabwe,-17.8312,31.0672,10.4083078712679
Eswatini,-26.5225,31.4659,10.2906976744186
Cyprus,35.1676,33.3736,10.1207792207792
Switzerland,46.948,7.44821,10.009321778007
South Africa,-25.746,28.1871,9.89209374407505
"Iran, Islamic Rep.",35.6878,51.4447,9.67580893682589
Indonesia,-6.19752,106.83,9.40017404086973
Uzbekistan,41.3052,69.269,9.11397403399046
Honduras,15.1333,-87.4667,9.09822146751274
Antigua and Barbuda,17.1175,-61.8456,9.09090909090909
Slovenia,46.0546,14.5044,8.88987107923959
