Loc,Lat,Lon,CO2 emissions
China,40.0495,116.286,12552
United States,38.8895,-77.032,4754
India,28.6353,77.225,2598
Russian Federation,55.7558,37.6176,1938
Japan,35.67,139.77,1080
"Iran, Islamic Rep.",35.6878,51.4447,784
Germany,52.5235,13.4115,671
"Korea, Rep.",37.5323,126.957,639
Indonesia,-6.19752,106.83,623
Saudi Arabia,24.6748,46.6977,590
Canada,45.4215,-75.6919,562
Brazil,-15.7801,-47.9292,506
Turkiye,39.7153,32.3606,461
Mexico,19.427,-99.1276,453
South Africa,-25.746,28.1871,449
Australia,-35.282,149.129,385
United Kingdom,51.5002,-0.126236,338
Viet Nam,21.0069,105.825,336
Italy,41.8955,12.4823,330
Poland,52.26,21.02,324
France,48.8566,2.35097,317
Thailand,13.7308,100.521,269
"Egypt, Arab Rep.",30.0982,31.2461,262
Malaysia,3.12433,101.684,258
Kazakhstan,51.1879,71.4382,242
Spain,40.4167,-3.70327,233
Pakistan,30.5167,72.8,229
Iraq,33.3302,44.394,200
United Arab Emirates,24.4764,54.3705,199
Ukraine,50.4536,30.5038,194
Argentina,-34.6118,-58.4173,186
Algeria,36.7397,3.05097,181
Netherlands,52.3738,4.89095,146
Philippines,14.5515,121.035,146
Uzbekistan,41.3052,69.269,134
Nigeria,9.05804,7.48906,131
Bangladesh,23.7055,90.4113,118
Qatar,25.2948,51.5082,118
Czechia,50.0878,14.4205,100
Kuwait,29.3721,47.9824,100
Belgium,50.8371,4.36761,96
Turkmenistan,37.9509,58.3794,95
Colombia,4.60987,-74.082,92
Chile,-33.475,-70.6475,89
Oman,23.6105,58.5874,88
Romania,44.4479,26.0979,81
"Venezuela, RB",9.08165,-69.8371,76
Morocco,33.9905,-6.8704,73
Austria,48.2201,16.3798,66
Israel,31.7717,35.2035,61
Peru,-12.0931,-77.0465,60
Belarus,53.9678,27.5766,59
Libya,32.8578,13.1072,58
"Korea, Dem. People's Rep.",39.0319,125.754,57
Singapore,1.28941,103.85,56
Greece,37.9792,23.7166,54
Hungary,47.4984,19.0408,51
Bulgaria,42.7105,23.3238,46
Norway,59.9138,10.7387,44
Ecuador,-0.229498,-78.5243,41
Sweden,59.3327,18.0645,40
Finland,60.1608,24.9525,39
Portugal,38.7072,-9.13552,39
Switzerland,46.948,7.44821,38
Azerbaijan,40.3834,49.8932,37
Slovak Republic,48.1484,17.1073,37
Bahrain,26.1921,50.5354,37
Ireland,53.3441,-6.26749,36
New Zealand,-41.2865,174.776,35
"Hong Kong SAR, China",22.3964,114.109,35
Myanmar,21.914,95.9562,32
Syrian Arab Republic,33.5146,36.3119,32
Tunisia,36.7899,10.21,31
Dominican Republic,18.479,-69.8908,30
Denmark,55.6763,12.5681,30
Trinidad and Tobago,10.6596,-61.4789,29
Angola,-8.81155,13.242,26
Mongolia,47.9129,106.937,25
Lao PDR,18.5826,102.177,24
Ghana,5.57045,-0.20795,24
Sudan,15.5932,32.5363,24
Sri Lanka,6.92148,79.8528,23
Bosnia and Herzegovina,43.8607,18.4214,23
Cuba,23.1333,-82.3667,22
Bolivia,-13.9908,-66.1936,22
Kenya,-1.27975,36.8126,22
Jordan,31.9497,35.9263,22
Guatemala,14.6248,-90.5328,20
Ethiopia,9.02274,38.7468,19
Tanzania,-6.17486,35.7382,19
Cambodia,11.5556,104.874,18
Croatia,45.8069,15.9614,18
Lebanon,33.8872,35.5134,17
Nepal,27.6939,85.3157,17
Cote d'Ivoire,5.332,-4.0305,17
Lithuania,54.6896,25.2799,14
Slovenia,46.0546,14.5044,14
Estonia,59.4392,24.7586,13
Puerto Rico (US),18.23,-66.0,13
Senegal,14.7247,-17.4734,13
Georgia,41.71,44.793,12
Afghanistan,34.5228,69.1761,12
"Yemen, Rep.",15.352,44.2075,11
Panama,8.99427,-79.5188,11
Zimbabwe,-17.8312,31.0672,11
Kyrgyz Republic,42.8851,74.6057,11
Zambia,-15.3982,28.2937,10
Cameroon,3.8721,11.5174,10
Brunei Darussalam,4.94199,114.946,10
Moldova,47.0167,28.8497,10
