Loc,Lat,Lon,Electricity access
Lebanon,33.8872,35.5134,100.0
French Polynesia,-17.535,-149.57,100.0
Kazakhstan,51.1879,71.4382,100.0
Japan,35.67,139.77,100.0
Jordan,31.9497,35.9263,100.0
Jamaica,17.9927,-76.792,100.0
Italy,41.8955,12.4823,100.0
Israel,31.7717,35.2035,100.0
Iceland,64.1353,-21.8952,100.0
Iraq,33.3302,44.394,100.0
"Iran, Islamic Rep.",35.6878,51.4447,100.0
Ireland,53.3441,-6.26749,100.0
West Bank and Gaza,31.9038,35.2034,100.0
Isle of Man,54.1509,-4.47928,100.0
Indonesia,-6.19752,106.83,100.0
Hungary,47.4984,19.0408,100.0
Croatia,45.8069,15.9614,100.0
Portugal,38.7072,-9.13552,100.0
Qatar,25.2948,51.5082,100.0
"Hong Kong SAR, China",22.3964,114.109,100.0
Romania,44.4479,26.0979,100.0
Guam,13.4443,144.794,100.0
Russian Federation,55.7558,37.6176,100.0
Greenland,64.1836,-51.7214,100.0
Saudi Arabia,24.6748,46.6977,100.0
Greece,37.9792,23.7166,100.0
Singapore,1.28941,103.85,100.0
El Salvador,13.7034,-89.2073,100.0
San Marino,43.9322,12.4486,100.0
Serbia,44.8024,20.4656,100.0
Gibraltar,36.1408,-5.3536,100.0
Slovak Republic,48.1484,17.1073,100.0
Paraguay,-25.3005,-57.6362,100.0
Puerto Rico (US),18.23,-66.0,100.0
Mauritius,-20.1605,57.4977,100.0
St. Martin (French part),18.0708,-63.0847,100.0
Northern Mariana Islands,15.1935,145.765,100.0
Mongolia,47.9129,106.937,100.0
Montenegro,42.4602,19.2595,100.0
New Caledonia,-22.2677,166.464,100.0
Malta,35.9042,14.5189,100.0
Netherlands,52.3738,4.89095,100.0
North Macedonia,42.0024,21.4361,100.0
Marshall Islands,7.11046,171.135,100.0
Mexico,19.427,-99.1276,100.0
Maldives,4.1742,73.5109,100.0
Norway,59.9138,10.7387,100.0
Moldova,47.0167,28.8497,100.0
Monaco,43.7325,7.41891,100.0
Morocco,33.9905,-6.8704,100.0
"Macao SAR, China",22.1667,113.55,100.0
Poland,52.26,21.02,100.0
Latvia,56.9465,24.1048,100.0
Luxembourg,49.61,6.1296,100.0
Lithuania,54.6896,25.2799,100.0
Nauru,-0.5477,166.920867,100.0
