Loc,Lat,Lon,Exports (% of GDP)
Luxembourg,49.61,6.1296,217.379822583978
San Marino,43.9322,12.4486,185.992797278666
Singapore,1.28941,103.85,180.430012907963
"Hong Kong SAR, China",22.3964,114.109,176.854196785869
Djibouti,11.5806,43.1425,150.741322598259
Ireland,53.3441,-6.26749,136.52636667411
Malta,35.9042,14.5189,119.748336901667
United Arab Emirates,24.4764,54.3705,106.846123390953
Cyprus,35.1676,33.3736,96.3899707005315
"Macao SAR, China",22.1667,113.55,92.4170435765852
Slovak Republic,48.1484,17.1073,91.4935561325084
Netherlands,52.3738,4.89095,87.4860612893795
Bahrain,26.1921,50.5354,87.351143952571
Viet Nam,21.0069,105.825,86.7366640875238
Libya,32.8578,13.1072,85.6010032090609
Seychelles,-4.6309,55.4466,85.5061413882593
Slovenia,46.0546,14.5044,83.4382737313632
Belgium,50.8371,4.36761,82.8132982978783
Hungary,47.4984,19.0408,81.3874893501556
Aruba,12.5167,-70.0167,79.8588933716615
Estonia,59.4392,24.7586,77.7746597010983
Brunei Darussalam,4.94199,114.946,76.7032024805205
Mongolia,47.9129,106.937,76.2571171270924
Lithuania,54.6896,25.2799,75.933513171116
Maldives,4.1742,73.5109,74.0437692661116
Switzerland,46.948,7.44821,70.3187381654557
Denmark,55.6763,12.5681,69.3143620591443
Mauritius,-20.1605,57.4977,69.0411453509364
Malaysia,3.12433,101.684,68.6789535653168
Czechia,50.0878,14.4205,68.4031069284452
North Macedonia,42.0024,21.4361,67.3969980458635
Cambodia,11.5556,104.874,66.8926660552171
Belarus,53.9678,27.5766,66.0267285714941
Latvia,56.9465,24.1048,65.9896551482715
Thailand,13.7308,100.521,65.5135882745017
Gabon,0.38832,9.45162,63.7282777796674
Bulgaria,42.7105,23.3238,62.0049746360507
Oman,23.6105,58.5874,61.5843427989208
Armenia,40.1596,44.509,61.008329479156
Austria,48.2201,16.3798,58.4867595713944
Poland,52.26,21.02,57.8812710195434
Kuwait,29.3721,47.9824,57.702062317436
Fiji,-18.1149,178.399,57.5069787068294
Faroe Islands,61.8926,-6.91181,57.1947583465234
"Congo, Rep.",-4.2767,15.2662,56.8959278033859
Sweden,59.3327,18.0645,55.1958779701806
Serbia,44.8024,20.4656,55.0746098125196
Belize,17.2534,-88.7713,54.9308418513115
Puerto Rico (US),18.23,-66.0,53.6448077849649
Tunisia,36.7899,10.21,53.0393939110608
Bermuda,32.3293,-64.706,52.7605680301685
Croatia,45.8069,15.9614,52.5673730204834
Georgia,41.71,44.793,49.2670598313658
Montenegro,42.4602,19.2595,49.229023063194
Azerbaijan,40.3834,49.8932,48.9964135000536
Eswatini,-26.5225,31.4659,48.5010223337944
Portugal,38.7072,-9.13552,47.1554769314882
Norway,59.9138,10.7387,46.4049617701132
Nicaragua,12.1475,-86.2734,45.8658095323572
Panama,8.99427,-79.5188,45.6292440025453
Cuba,23.1333,-82.3667,45.6267674849104
Mozambique,-25.9664,32.5713,45.6002906309861
Guinea,9.51667,-13.7,44.1320630492989
Iceland,64.1353,-21.8952,43.9745925950012
Bosnia and Herzegovina,43.8607,18.4214,43.9317398178138
Greece,37.9792,23.7166,43.8388384656123
Namibia,-22.5648,17.0931,43.2846167726677
Germany,52.5235,13.4115,42.9672624196847
Finland,60.1608,24.9525,42.7684474643322
Lesotho,-29.5208,27.7167,42.6829787081486
Morocco,33.9905,-6.8704,42.4176033594569
Paraguay,-25.3005,-57.6362,42.257662716231
"Congo, Dem. Rep.",-4.325,15.3222,42.0539835211192
"Korea, Rep.",37.5323,126.957,41.3214807367697
Zambia,-15.3982,28.2937,40.8461239686718
Nauru,-0.5477,166.920867,40.8333333333333
Greenland,64.1836,-51.7214,40.7986421686905
Kosovo,42.565,20.926,39.64047566608
Iraq,33.3302,44.394,39.6312322400043
Cabo Verde,14.9218,-23.5087,39.2805048495495
Romania,44.4479,26.0979,39.2445975462886
Albania,41.3317,19.8172,38.4188212901288
Mauritania,18.2367,-15.9824,38.4070908149798
Marshall Islands,7.11046,171.135,38.2575757575758
Costa Rica,9.63701,-84.0089,38.0957487081207
Spain,40.4167,-3.70327,37.8166476493913
"Bahamas, The",25.0661,-77.339,37.8114502367185
Equatorial Guinea,3.7523,8.7741,37.8045825137903
Honduras,15.1333,-87.4667,37.3686804713719
Kyrgyz Republic,42.8851,74.6057,36.8882232535821
Solomon Islands,-9.42676,159.949,36.2593066478577
Mexico,19.427,-99.1276,36.1479343675069
Moldova,47.0167,28.8497,35.1125857861262
Kazakhstan,51.1879,71.4382,34.650577449538
France,48.8566,2.35097,34.4562568778842
Canada,45.4215,-75.6919,33.3416520498948
Italy,41.8955,12.4823,33.3293695692309
South Africa,-25.746,28.1871,33.2538127556816
Botswana,-24.6544,25.9201,32.8968928794687
Angola,-8.81155,13.242,32.6693723720411
Turkiye,39.7153,32.3606,31.9135926809724
United Kingdom,51.5002,-0.126236,31.9122697629938
Ghana,5.57045,-0.20795,31.7708164943996
Chile,-33.475,-70.6475,30.7750617433637
Saudi Arabia,24.6748,46.6977,30.7559610678442
Lebanon,33.8872,35.5134,30.5514119674735
Israel,31.7717,35.2035,30.3284744013966
Chad,12.1048,15.0445,29.1015893607964
Burkina Faso,12.3605,-1.53395,28.9494254778906
El Salvador,13.7034,-89.2073,28.7918551914872
Ecuador,-0.229498,-78.5243,28.649536821321
Bhutan,27.5768,89.6177,28.3881078975658
Vanuatu,-17.7404,168.321,28.3701473975778
Ukraine,50.4536,30.5038,28.300468273727
Uruguay,-34.8941,-56.0675,27.9812486565884
Peru,-12.0931,-77.0465,27.1701618135233
Madagascar,-20.4667,45.7167,26.7228861237427
Australia,-35.282,149.129,26.701068252275
Philippines,14.5515,121.035,26.6368493470585
Samoa,-13.8314,-171.752,26.2085799096029
Palau,7.34194,134.479,26.1410304075549
Mali,13.5667,-7.50034,24.7863775029858
Togo,6.1228,1.2255,24.5820517950579
French Polynesia,-17.535,-149.57,24.0679217423403
"Iran, Islamic Rep.",35.6878,51.4447,23.9216475542357
Algeria,36.7397,3.05097,23.7900604738163
Rwanda,-1.95325,30.0587,23.7006060278177
New Zealand,-41.2865,174.776,23.6303100710205
Uzbekistan,41.3052,69.269,23.3152321915222
Senegal,14.7247,-17.4734,23.1064628813737
Timor-Leste,-8.56667,125.567,22.9230944694195
Russian Federation,55.7558,37.6176,22.7699393140297
Cote d'Ivoire,5.332,-4.0305,22.4353390507141
Bolivia,-13.9908,-66.1936,22.4028095381649
India,28.6353,77.225,22.354801966733
"Micronesia, Fed. Sts.",6.91771,158.185,22.1231146817116
"Somalia, Fed. Rep.",2.07515,45.3254,21.9383099105676
Indonesia,-6.19752,106.83,21.8085632197562
Turkmenistan,37.9509,58.3794,21.6753202584741
Dominican Republic,18.479,-69.8908,21.3233165320401
Japan,35.67,139.77,21.0593101343597
Sierra Leone,8.4821,-13.2134,20.9636585435779
Sri Lanka,6.92148,79.8528,20.5995283672112
Benin,6.4779,2.6323,20.003519091069
China,40.0495,116.286,19.4023091648376
"Egypt, Arab Rep.",30.0982,31.2461,19.1060913405676
"Venezuela, RB",9.08165,-69.8371,18.0663666874328
Brazil,-15.7801,-47.9292,17.9693243032741
Colombia,4.60987,-74.082,17.8077746975806
Tanzania,-6.17486,35.7382,17.1954298762755
Tajikistan,38.5878,68.7864,17.1918374601415
Zimbabwe,-17.8312,31.0672,17.1170760050918
West Bank and Gaza,31.9038,35.2034,16.9958841111666
New Caledonia,-22.2677,166.464,16.9373546011132
Cameroon,3.8721,11.5174,16.8527562193087
Kenya,-1.27975,36.8126,16.7133442998721
Guatemala,14.6248,-90.5328,16.6174908714024
Afghanistan,34.5228,69.1761,16.2352784419391
Tonga,-21.136,-175.216,14.7440210892371
Central African Republic,5.63056,21.6407,14.4408262093734
Sao Tome and Principe,0.20618,6.6071,14.2438021824642
Guinea-Bissau,11.8037,-15.1804,13.7413098032507
Bangladesh,23.7055,90.4113,13.1571638341204
Argentina,-34.6118,-58.4173,12.8223120961047
Uganda,0.314269,32.5729,11.6017089255499
Malawi,-13.9899,33.7703,11.2450363894528
United States,38.8895,-77.032,11.0506737190927
Pakistan,30.5167,72.8,10.4939587511564
Comoros,-11.6986,43.2418,10.3108363180596
Niger,13.514,2.1073,8.25116486718739
"Gambia, The",13.4495,-16.5885,7.05322372905498
Nepal,27.6939,85.3157,7.00596728086136
Ethiopia,9.02274,38.7468,6.59591829052029
Kiribati,1.32905,172.979,5.85831693667442
Haiti,18.5392,-72.3288,3.19960218811037
Sudan,15.5932,32.5363,1.10810859308483
