Loc,Lat,Lon,Fertility rate
"Somalia, Fed. Rep.",2.07515,45.3254,6.132
Chad,12.1048,15.0445,6.12
Niger,13.514,2.1073,6.061
"Congo, Dem. Rep.",-4.325,15.3222,6.051
Central African Republic,5.63056,21.6407,6.012
Mali,13.5667,-7.50034,5.614
Angola,-8.81155,13.242,5.124
Burundi,-3.3784,29.3639,4.878
Afghanistan,34.5228,69.1761,4.84
Mozambique,-25.9664,32.5713,4.763
Mauritania,18.2367,-15.9824,4.697
Tanzania,-6.17486,35.7382,4.606
"Yemen, Rep.",15.352,44.2075,4.59
Benin,6.4779,2.6323,4.556
Nigeria,9.05804,7.48906,4.482
Sudan,15.5932,32.5363,4.323
Cameroon,3.8721,11.5174,4.322
Cote d'Ivoire,5.332,-4.0305,4.283
Uganda,0.314269,32.5729,4.283
Guinea,9.51667,-13.7,4.217
Togo,6.1228,1.2255,4.192401
Burkina Faso,12.3605,-1.53395,4.186
"Congo, Rep.",-4.2767,15.2662,4.157
Zambia,-15.3982,28.2937,4.101
Equatorial Guinea,3.7523,8.7741,4.081
"Gambia, The",13.4495,-16.5885,4.006
Ethiopia,9.02274,38.7468,3.989
Madagascar,-20.4667,45.7167,3.972
Liberia,6.30039,-10.7957,3.95
Comoros,-11.6986,43.2418,3.878
South Sudan,4.85,31.6,3.864
Guinea-Bissau,11.8037,-15.1804,3.836
Samoa,-13.8314,-171.752,3.829
Senegal,14.7247,-17.4734,3.818
Sierra Leone,8.4821,-13.2134,3.791
Zimbabwe,-17.8312,31.0672,3.724
Eritrea,15.3315,38.9183,3.713
Rwanda,-1.95325,30.0587,3.698
Malawi,-13.9899,33.7703,3.648
Gabon,0.38832,9.45162,3.647
Sao Tome and Principe,0.20618,6.6071,3.644
Pakistan,30.5167,72.8,3.605
Vanuatu,-17.7404,168.321,3.596
Solomon Islands,-9.42676,159.949,3.557
Uzbekistan,41.3052,69.269,3.5
Ghana,5.57045,-0.20795,3.397
Nauru,-0.5477,166.920867,3.331
West Bank and Gaza,31.9038,35.2034,3.311
Iraq,33.3302,44.394,3.249
Namibia,-22.5648,17.0931,3.212
Tuvalu,-8.6314877,179.089567,3.208
Kenya,-1.27975,36.8126,3.208
Kiribati,1.32905,172.979,3.147
Tonga,-21.136,-175.216,3.129
Papua New Guinea,-9.47357,147.194,3.099
Tajikistan,38.5878,68.7864,3.072
Kazakhstan,51.1879,71.4382,3.012
Marshall Islands,7.11046,171.135,2.919
Israel,31.7717,35.2035,2.85
Guam,13.4443,144.794,2.781
Algeria,36.7397,3.05097,2.766
Eswatini,-26.5225,31.4659,2.753
"Egypt, Arab Rep.",30.0982,31.2461,2.75
"Micronesia, Fed. Sts.",6.91771,158.185,2.748
Botswana,-24.6544,25.9201,2.732
St. Martin (French part),18.0708,-63.0847,2.718
Syrian Arab Republic,33.5146,36.3119,2.712
Timor-Leste,-8.56667,125.567,2.707
Kyrgyz Republic,42.8851,74.6057,2.7
