Loc,Lat,Lon,Forest area
Russian Federation,55.7558,37.6176,8153120
Brazil,-15.7801,-47.9292,4941960
Canada,45.4215,-75.6919,3468541
United States,38.8895,-77.032,3097950
China,40.0495,116.286,2237370
Australia,-35.282,149.129,1340051
"Congo, Dem. Rep.",-4.325,15.3222,1239520
Indonesia,-6.19752,106.83,909221
India,28.6353,77.225,726930
Peru,-12.0931,-77.0465,719847
Angola,-8.81155,13.242,654973
Mexico,19.427,-99.1276,654370
Colombia,4.60987,-74.082,587433
Bolivia,-13.9908,-66.1936,504164
"Venezuela, RB",9.08165,-69.8371,461268
Tanzania,-6.17486,35.7382,448070
Zambia,-15.3982,28.2937,444376
Mozambique,-25.9664,32.5713,362673
Papua New Guinea,-9.47357,147.194,357887
Argentina,-34.6118,-58.4173,283550
Sweden,59.3327,18.0645,279800
Myanmar,21.914,95.9562,279645
Japan,35.67,139.77,249350
Gabon,0.38832,9.45162,235068
Turkiye,39.7153,32.3606,225324
Finland,60.1608,24.9525,224090
Central African Republic,5.63056,21.6407,222430
"Congo, Rep.",-4.2767,15.2662,219160
Nigeria,9.05804,7.48906,213004
Cameroon,3.8721,11.5174,202285
Thailand,13.7308,100.521,198010
Malaysia,3.12433,101.684,190137
Spain,40.4167,-3.70327,185808
Chile,-33.475,-70.6475,184565
Guyana,6.80461,-58.1548,183969
Sudan,15.5932,32.5363,180150
France,48.8566,2.35097,174198
Zimbabwe,-17.8312,31.0672,173524
South Africa,-25.746,28.1871,169773
Ethiopia,9.02274,38.7468,169225
Lao PDR,18.5826,102.177,165265
Paraguay,-25.3005,-57.6362,155436
Suriname,5.8232,-55.1679,151718
Botswana,-24.6544,25.9201,150181
Viet Nam,21.0069,105.825,147949
Mongolia,47.9129,106.937,141710
Mali,13.5667,-7.50034,132960
Madagascar,-20.4667,45.7167,124034
Ecuador,-0.229498,-78.5243,123693
Norway,59.9138,10.7387,121956
Germany,52.5235,13.4115,114190
"Iran, Islamic Rep.",35.6878,51.4447,107760
New Zealand,-41.2865,174.776,99319
Ukraine,50.4536,30.5038,97020
Italy,41.8955,12.4823,96738
Poland,52.26,21.02,95070
Belarus,53.9678,27.5766,87966
Ghana,5.57045,-0.20795,80002
Senegal,14.7247,-17.4734,79882
Cambodia,11.5556,104.874,77570
Liberia,6.30039,-10.7957,75569
Philippines,14.5515,121.035,72584
South Sudan,4.85,31.6,71570
Romania,44.4479,26.0979,69290
Namibia,-22.5648,17.0931,64969
Honduras,15.1333,-87.4667,63174
"Korea, Rep.",37.5323,126.957,62670
Burkina Faso,12.3605,-1.53395,61164
Guinea,9.51667,-13.7,61090
"Korea, Dem. People's Rep.",39.0319,125.754,59880
Nepal,27.6939,85.3157,59620
"Somalia, Fed. Rep.",2.07515,45.3254,58265
Morocco,33.9905,-6.8704,57634
Panama,8.99427,-79.5188,41910
Turkmenistan,37.9509,58.3794,41270
Chad,12.1048,15.0445,40914
Bulgaria,42.7105,23.3238,39190
Greece,37.9792,23.7166,39018
Austria,48.2201,16.3798,38954
Uzbekistan,41.3052,69.269,37413
Pakistan,30.5167,72.8,36432
Kenya,-1.27975,36.8126,36111
Kazakhstan,51.1879,71.4382,35132
Guatemala,14.6248,-90.5328,35046
Latvia,56.9465,24.1048,34185
Portugal,38.7072,-9.13552,33120
Cuba,23.1333,-82.3667,32420
Nicaragua,12.1475,-86.2734,32075
United Kingdom,51.5002,-0.126236,32069
Costa Rica,9.63701,-84.0089,30676
Benin,6.4779,2.6323,30352
Georgia,41.71,44.793,28224
Bhutan,27.5768,89.6177,27290
Serbia,44.8024,20.4656,27233
Czechia,50.0878,14.4205,26807
Cote d'Ivoire,5.332,-4.0305,26109
Solomon Islands,-9.42676,159.949,25215
