Loc,Lat,Lon,GDP
United States,38.8895,-77.032,27811517000000
China,40.0495,116.286,18270356654533
Germany,52.5235,13.4115,4562207532490
Japan,35.67,139.77,4384854269962
India,28.6353,77.225,3500906030645
United Kingdom,51.5002,-0.126236,3420796653789
France,48.8566,2.35097,3056250648138
Italy,41.8955,12.4823,2316882296366
Canada,45.4215,-75.6919,2196593836347
Brazil,-15.7801,-47.9292,2191131765685
Russian Federation,55.7558,37.6176,2046284838151
"Korea, Rep.",37.5323,126.957,1844800934392
Mexico,19.427,-99.1276,1794410347718
Australia,-35.282,149.129,1734451264656
Spain,40.4167,-3.70327,1619481980720
Indonesia,-6.19752,106.83,1371166925750
Saudi Arabia,24.6748,46.6977,1218584800000
Turkiye,39.7153,32.3606,1141242864657
Netherlands,52.3738,4.89095,1135475867551
Switzerland,46.948,7.44821,928435275852
Poland,52.26,21.02,812451193396
Belgium,50.8371,4.36761,650779364364
Argentina,-34.6118,-58.4173,649461687959
Sweden,59.3327,18.0645,578990915246
Ireland,53.3441,-6.26749,567372737459
United Arab Emirates,24.4764,54.3705,522622268401
Thailand,13.7308,100.521,517013369475
Austria,48.2201,16.3798,516670509629
Israel,31.7717,35.2035,513393395492
Singapore,1.28941,103.85,511181761244
Norway,59.9138,10.7387,502197633323
Nigeria,9.05804,7.48906,487387801878
"Iran, Islamic Rep.",35.6878,51.4447,457510482317
Bangladesh,23.7055,90.4113,437415333018
Philippines,14.5515,121.035,437055627245
Viet Nam,21.0069,105.825,433805036898
Denmark,55.6763,12.5681,404651706118
Malaysia,3.12433,101.684,399949418753
"Egypt, Arab Rep.",30.0982,31.2461,395926071448
South Africa,-25.746,28.1871,381440724491
"Hong Kong SAR, China",22.3964,114.109,380762296025
Colombia,4.60987,-74.082,366901643683
Romania,44.4479,26.0979,347757995759
Czechia,50.0878,14.4205,345059295660
Pakistan,30.5167,72.8,336686348609
Chile,-33.475,-70.6475,335802745366
Finland,60.1608,24.9525,295191741637
Portugal,38.7072,-9.13552,292323800949
Iraq,33.3302,44.394,268881051644
Peru,-12.0931,-77.0465,268025009709
Kazakhstan,51.1879,71.4382,261840101060
New Zealand,-41.2865,174.776,256372177758
Algeria,36.7397,3.05097,247923887215
Greece,37.9792,23.7166,242946187738
Hungary,47.4984,19.0408,213029511029
Qatar,25.2948,51.5082,213002809341
Ukraine,50.4536,30.5038,181221517869
Kuwait,29.3721,47.9824,165462656227
Morocco,33.9905,-6.8704,146036093667
Ethiopia,9.02274,38.7468,135874093203
Slovak Republic,48.1484,17.1073,133578518424
Ecuador,-0.229498,-78.5243,120792801000
Dominican Republic,18.479,-69.8908,120456239154
Puerto Rico (US),18.23,-66.0,118478754281
Uzbekistan,41.3052,69.269,107526539716
Kenya,-1.27975,36.8126,107500884685
Oman,23.6105,58.5874,106174707932
Angola,-8.81155,13.242,106042349567
Guatemala,14.6248,-90.5328,104298081429
"Venezuela, RB",9.08165,-69.8371,102377501186
Bulgaria,42.7105,23.3238,102204457335
Luxembourg,49.61,6.1296,88788881539
Costa Rica,9.63701,-84.0089,87512637056
Croatia,45.8069,15.9614,85621337533
Sri Lanka,6.92148,79.8528,84080307356
Panama,8.99427,-79.5188,83812155200
Serbia,44.8024,20.4656,81343999280
Cote d'Ivoire,5.332,-4.0305,80780312569
Ghana,5.57045,-0.20795,80547146876
Lithuania,54.6896,25.2799,80356613555
Uruguay,-34.8941,-56.0675,79208725900
Tanzania,-6.17486,35.7382,79030935638
Belarus,53.9678,27.5766,72478760370
Azerbaijan,40.3834,49.8932,72428470588
"Congo, Dem. Rep.",-4.325,15.3222,69843655425
Slovenia,46.0546,14.5044,69255264238
Myanmar,21.914,95.9562,66757619000
Jordan,31.9497,35.9263,56123472113
Bolivia,-13.9908,-66.1936,52340206946
Cameroon,3.8721,11.5174,48814501547
Uganda,0.314269,32.5729,48768955863
Tunisia,36.7899,10.21,48205328303
Bahrain,26.1921,50.5354,46192260638
"Macao SAR, China",22.1667,113.55,45626467280
Libya,32.8578,13.1072,44027664915
Paraguay,-25.3005,-57.6362,43140465596
Latvia,56.9465,24.1048,42779550937
Cambodia,11.5556,104.874,42335646896
Estonia,59.4392,24.7586,41470344395
Nepal,27.6939,85.3157,41049329851
Sudan,15.5932,32.5363,39898289821
Turkmenistan,37.9509,58.3794,39020211240
Zimbabwe,-17.8312,31.0672,35871781303
Cyprus,35.1676,33.3736,35075440603
Honduras,15.1333,-87.4667,34355805528
El Salvador,13.7034,-89.2073,33565430000
Iceland,64.1353,-21.8952,31701996434
