Loc,Lat,Lon,GDP per capita
Monaco,43.7325,7.41891,256799.911212051
Liechtenstein,47.1411,9.52148,206780.590353385
Luxembourg,49.61,6.1296,133230.619178899
Bermuda,32.3293,-64.706,132961.760796315
Ireland,53.3441,-6.26749,106818.917130804
Switzerland,46.948,7.44821,104449.75451772
Cayman Islands,19.3022,-81.3857,100065.233841107
Norway,59.9138,10.7387,90984.4087141111
Isle of Man,54.1509,-4.47928,90015.2074234398
Singapore,1.28941,103.85,86382.5900499252
United States,38.8895,-77.032,82586.7847707894
Iceland,64.1353,-21.8952,82201.2908518078
Qatar,25.2948,51.5082,80195.8746508549
Channel Islands,49.4556,-2.5361,74585.5224096294
Faroe Islands,61.8926,-6.91181,72486.6910957957
Denmark,55.6763,12.5681,68043.5466971243
"Macao SAR, China",22.1667,113.55,67216.3631112124
Australia,-35.282,149.129,65058.3773146674
Netherlands,52.3738,4.89095,63515.6030780019
San Marino,43.9322,12.4486,59871.3288101478
Greenland,64.1836,-51.7214,58498.9707973609
Austria,48.2201,16.3798,56579.504175468
Belgium,50.8371,4.36761,55244.68145811
Sweden,59.3327,18.0645,54950.2834725622
Canada,45.4215,-75.6919,54847.5370112652
Germany,52.5235,13.4115,54776.7668235491
Finland,60.1608,24.9525,52864.6931581216
Israel,31.7717,35.2035,52126.4489280033
"Hong Kong SAR, China",22.3964,114.109,50525.1119312663
United Kingdom,51.5002,-0.126236,49919.6896621586
United Arab Emirates,24.4764,54.3705,49850.6945082084
New Zealand,-41.2865,174.776,49302.341876493
Andorra,42.5075,1.5218,46812.448450114
France,48.8566,2.35097,44700.1384177544
Malta,35.9042,14.5189,40932.5238774461
Sint Maarten (Dutch part),18.0237,-63.0458,39451.822911732
Italy,41.8955,12.4823,39279.699782164
"Bahamas, The",25.0661,-77.339,38231.774484278
Puerto Rico (US),18.23,-66.0,36980.7653928068
Cyprus,35.1676,33.3736,36623.70703125
Saudi Arabia,24.6748,46.6977,36156.8562500172
"Korea, Rep.",37.5323,126.957,35674.095995632
Turks and Caicos Islands,21.4602778,-71.141389,35470.2151608295
Japan,35.67,139.77,35215.003535366
Aruba,12.5167,-70.0167,34897.6183932009
Kuwait,29.3721,47.9824,34091.9714813002
New Caledonia,-22.2677,166.464,33701.8923322781
Spain,40.4167,-3.70327,33493.2225409111
Brunei Darussalam,4.94199,114.946,32890.5491812019
Slovenia,46.0546,14.5044,32660.4753581346
Czechia,50.0878,14.4205,31761.5944102491
Estonia,59.4392,24.7586,30264.0064885057
Bahrain,26.1921,50.5354,29290.1284215098
Lithuania,54.6896,25.2799,27983.3658256887
Portugal,38.7072,-9.13552,27634.6183139773
Barbados,13.0935,-59.6105,25583.8722302505
Slovak Republic,48.1484,17.1073,24614.8734642794
Uruguay,-34.8941,-56.0675,23378.6399733516
Greece,37.9792,23.7166,23343.7103964562
Latvia,56.9465,24.1048,22710.2637544197
St. Kitts and Nevis,17.3,-62.7309,22576.9248439166
Hungary,47.4984,19.0408,22208.6509820466
Croatia,45.8069,15.9614,22183.4982258492
Poland,52.26,21.02,22145.2660647429
Antigua and Barbuda,17.1175,-61.8456,22012.2625947994
French Polynesia,-17.535,-149.57,21832.2831795569
Curacao,12.108,-68.9335,21217.8109173312
Oman,23.6105,58.5874,21027.7384572657
Guyana,6.80461,-58.1548,20473.7002190617
Panama,8.99427,-79.5188,18797.1933894611
Trinidad and Tobago,10.6596,-61.4789,18308.4536298575
Romania,44.4479,26.0979,18244.4186876321
Seychelles,-4.6309,55.4466,18130.5297135548
Costa Rica,9.63701,-84.0089,17140.771430122
Chile,-33.475,-70.6475,17081.5180740049
Bulgaria,42.7105,23.3238,15854.0192893772
Palau,7.34194,134.479,15578.3497630733
Argentina,-34.6118,-58.4173,14261.8465667948
Russian Federation,55.7558,37.6176,13986.9951171875
Mexico,19.427,-99.1276,13830.843848864
St. Lucia,14.0,-60.9832,13616.6397593734
Nauru,-0.5477,166.920867,13602.6372112893
Turkiye,39.7153,32.3606,13375.0947282864
China,40.0495,116.286,12951.1782397043
Kazakhstan,51.1879,71.4382,12879.4275257974
Maldives,4.1742,73.5109,12587.6126038651
Serbia,44.8024,20.4656,12281.707946167
Montenegro,42.4602,19.2595,12258.1600477339
Grenada,12.0653,-61.7449,11414.4781691181
Malaysia,3.12433,101.684,11386.0395636528
Mauritius,-20.1605,57.4977,11269.9684462139
Dominican Republic,18.479,-69.8908,10630.431743829
St. Vincent and the Grenadines,13.2035,-61.2653,10582.3656725229
Brazil,-15.7801,-47.9292,10377.5892792557
Dominica,15.2976,-61.39,9912.96212766668
Albania,41.3317,19.8172,9740.7023414631
North Macedonia,42.0024,21.4361,8674.35846327485
Bosnia and Herzegovina,43.8607,18.4214,8663.02326458629
Georgia,41.71,44.793,8283.66960652261
Armenia,40.1596,44.509,8159.08720967996
Peru,-12.0931,-77.0465,7919.04634828547
Belarus,53.9678,27.5766,7896.75388295584
Botswana,-24.6544,25.9201,7827.30027960734
Gabon,0.38832,9.45162,7802.82433276138
Jamaica,17.9927,-76.792,7542.39855849054
Belize,17.2534,-88.7713,7424.75821321022
Thailand,13.7308,100.521,7210.54130832685
Azerbaijan,40.3834,49.8932,7133.02838048328
Colombia,4.60987,-74.082,7012.49169137756
Moldova,47.0167,28.8497,6799.58594644576
Marshall Islands,7.11046,171.135,6799.39217554794
Equatorial Guinea,3.7523,8.7741,6788.35271638376
Ecuador,-0.229498,-78.5243,6718.1447938811
Tuvalu,-8.6314877,179.089567,6344.7750188689
Paraguay,-25.3005,-57.6362,6303.26495017292
Kosovo,42.565,20.926,6220.33213919344
South Africa,-25.746,28.1871,6034.27208964673
Libya,32.8578,13.1072,6026.51518708812
Iraq,33.3302,44.394,5965.31835077761
Fiji,-18.1149,178.399,5926.20586394763
Mongolia,47.9129,106.937,5838.63108083902
Guatemala,14.6248,-90.5328,5754.42833909847
Tonga,-21.136,-175.216,5651.59357939286
Suriname,5.8232,-55.1679,5521.97602122638
Algeria,36.7397,3.05097,5370.477235078
El Salvador,13.7034,-89.2073,5319.7195268688
Turkmenistan,37.9509,58.3794,5298.46421949276
Ukraine,50.4536,30.5038,5139.59814453125
"Iran, Islamic Rep.",35.6878,51.4447,5049.29931642754
Jordan,31.9497,35.9263,4906.23543006639
Indonesia,-6.19752,106.83,4876.2992959843
Samoa,-13.8314,-171.752,4822.74084650019
Cabo Verde,14.9218,-23.5087,4794.90119772843
Viet Nam,21.0069,105.825,4322.82572261566
Bolivia,-13.9908,-66.1936,4274.70820547613
Namibia,-22.5648,17.0931,4225.99102418102
Tunisia,36.7899,10.21,3951.11683376921
"Micronesia, Fed. Sts.",6.91771,158.185,3933.01607031874
Bhutan,27.5768,89.6177,3831.32535564326
Sri Lanka,6.92148,79.8528,3815.41531767474
Morocco,33.9905,-6.8704,3813.72607421875
Philippines,14.5515,121.035,3804.08274131718
Eswatini,-26.5225,31.4659,3755.52111232464
Vanuatu,-17.7404,168.321,3708.18942411253
"Venezuela, RB",9.08165,-69.8371,3617.47038396528
West Bank and Gaza,31.9038,35.2034,3607.41611858821
Lebanon,33.8872,35.5134,3477.72489842684
"Egypt, Arab Rep.",30.0982,31.2461,3456.78965212363
Djibouti,11.5806,43.1425,3381.29779710722
Honduras,15.1333,-87.4667,3227.45762509776
Uzbekistan,41.3052,69.269,3015.97705069457
Sao Tome and Principe,0.20618,6.6071,2990.6606143535
Papua New Guinea,-9.47357,147.194,2966.06455045333
Angola,-8.81155,13.242,2885.51349130806
Nicaragua,12.1475,-86.2734,2609.44491147975
Cote d'Ivoire,5.332,-4.0305,2591.9659048119
Bangladesh,23.7055,90.4113,2551.01773827307
"Congo, Rep.",-4.2767,15.2662,2477.97845544866
India,28.6353,77.225,2434.44826340989
Cambodia,11.5556,104.874,2429.74853452838
Ghana,5.57045,-0.20795,2383.90410476221
Kiribati,1.32905,172.979,2200.68918614289
Zimbabwe,-17.8312,31.0672,2195.22502010174
Nigeria,9.05804,7.48906,2138.76383718757
Kyrgyz Republic,42.8851,74.6057,2138.22210211478
Mauritania,18.2367,-15.9824,2127.9576285973
Lao PDR,18.5826,102.177,2066.94979776957
Kenya,-1.27975,36.8126,1942.58802756191
Solomon Islands,-9.42676,159.949,1882.64394148042
Comoros,-11.6986,43.2418,1723.89474946474
Cameroon,3.8721,11.5174,1720.47510154506
Senegal,14.7247,-17.4734,1698.03387300843
Haiti,18.5392,-72.3288,1681.84407667059
Guinea,9.51667,-13.7,1555.49375806861
Timor-Leste,-8.56667,125.567,1502.4114958903
Benin,6.4779,2.6323,1394.17784721831
Nepal,27.6939,85.3157,1382.38300895424
Pakistan,30.5167,72.8,1360.32417758419
Zambia,-15.3982,28.2937,1330.72780576709
Myanmar,21.914,95.9562,1233.19666209269
Tanzania,-6.17486,35.7382,1224.00219726563
Togo,6.1228,1.2255,1182.32951436696
Tajikistan,38.5878,68.7864,1178.47990060249
Rwanda,-1.95325,30.0587,1061.05788154076
Ethiopia,9.02274,38.7468,1055.81091593061
Mali,13.5667,-7.50034,1042.44223444837
Uganda,0.314269,32.5729,1002.30913917142
Guinea-Bissau,11.8037,-15.1804,964.431832665395
Chad,12.1048,15.0445,949.991054236266
Lesotho,-29.5208,27.7167,921.435141557056
"Gambia, The",13.4495,-16.5885,883.024111978927
Burkina Faso,12.3605,-1.53395,873.198061670247
Liberia,6.30039,-10.7957,799.194470229642
Sudan,15.5932,32.5363,797.283447265625
Sierra Leone,8.4821,-13.2134,758.329137301888
"Congo, Dem. Rep.",-4.325,15.3222,660.21205238997
Niger,13.514,2.1073,647.930108509567
Malawi,-13.9899,33.7703,633.214767978695
Mozambique,-25.9664,32.5713,622.191133245967
"Somalia, Fed. Rep.",2.07515,45.3254,596.885985135589
Madagascar,-20.4667,45.7167,514.064076551927
Central African Republic,5.63056,21.6407,495.978897288721
Afghanistan,34.5228,69.1761,413.757894705303
Burundi,-3.3784,29.3639,249.795164039029
