Loc,Lat,Lon,Gini index
Colombia,4.60987,-74.082,55.1
Brazil,-15.7801,-47.9292,52.9
Panama,8.99427,-79.5188,50.9
Kosovo,42.565,20.926,49.4
Costa Rica,9.63701,-84.0089,48.7
Ecuador,-0.229498,-78.5243,45.8
Turkiye,39.7153,32.3606,44.4
Central African Republic,5.63056,21.6407,43.0
Paraguay,-25.3005,-57.6362,42.9
Argentina,-34.6118,-58.4173,42.4
Cameroon,3.8721,11.5174,42.2
Bolivia,-13.9908,-66.1936,40.9
Uruguay,-34.8941,-56.0675,40.8
Malaysia,3.12433,101.684,40.7
Philippines,14.5515,121.035,40.7
Peru,-12.0931,-77.0465,40.1
Jamaica,17.9927,-76.792,39.9
United States,38.8895,-77.032,39.7
Bulgaria,42.7105,23.3238,39.0
El Salvador,13.7034,-89.2073,39.0
Kenya,-1.27975,36.8126,38.7
Dominican Republic,18.479,-69.8908,38.5
Israel,31.7717,35.2035,37.9
Togo,6.1228,1.2255,37.9
Burkina Faso,12.3605,-1.53395,37.4
Madagascar,-20.4667,45.7167,36.8
Lithuania,54.6896,25.2799,36.7
Senegal,14.7247,-17.4734,36.2
China,40.0495,116.286,35.7
Mali,13.5667,-7.50034,35.7
Indonesia,-6.19752,106.83,35.5
"Iran, Islamic Rep.",35.6878,51.4447,35.5
Cote d'Ivoire,5.332,-4.0305,35.3
Russian Federation,55.7558,37.6176,35.1
Thailand,13.7308,100.521,34.9
Italy,41.8955,12.4823,34.8
Portugal,38.7072,-9.13552,34.6
Benin,6.4779,2.6323,34.4
Latvia,56.9465,24.1048,34.3
Montenegro,42.4602,19.2595,34.3
Georgia,41.71,44.793,34.2
Spain,40.4167,-3.70327,33.9
Romania,44.4479,26.0979,33.9
Switzerland,46.948,7.44821,33.8
Tunisia,36.7899,10.21,33.7
Germany,52.5235,13.4115,33.6
Guinea-Bissau,11.8037,-15.1804,33.4
Serbia,44.8024,20.4656,33.1
"Korea, Rep.",37.5323,126.957,32.9
Greece,37.9792,23.7166,32.9
Uzbekistan,41.3052,69.269,32.9
Niger,13.514,2.1073,32.9
Luxembourg,49.61,6.1296,32.7
Tajikistan,38.5878,68.7864,32.4
United Kingdom,51.5002,-0.126236,32.4
Estonia,59.4392,24.7586,31.8
Malta,35.9042,14.5189,31.6
France,48.8566,2.35097,31.5
Cyprus,35.1676,33.3736,31.3
Ethiopia,9.02274,38.7468,31.1
Canada,45.4215,-75.6919,31.1
Austria,48.2201,16.3798,30.7
Bosnia and Herzegovina,43.8607,18.4214,30.3
Sweden,59.3327,18.0645,29.8
Ireland,53.3441,-6.26749,29.4
Kazakhstan,51.1879,71.4382,29.2
Norway,59.9138,10.7387,29.1
Croatia,45.8069,15.9614,28.9
Kyrgyz Republic,42.8851,74.6057,28.8
"Egypt, Arab Rep.",30.0982,31.2461,28.5
Poland,52.26,21.02,28.5
Denmark,55.6763,12.5681,28.3
Armenia,40.1596,44.509,27.9
Finland,60.1608,24.9525,27.7
Tonga,-21.136,-175.216,27.1
Belgium,50.8371,4.36761,26.6
Czechia,50.0878,14.4205,26.2
Netherlands,52.3738,4.89095,25.7
Moldova,47.0167,28.8497,25.7
Slovenia,46.0546,14.5044,24.3
Slovak Republic,48.1484,17.1073,24.1
