Loc,Lat,Lon,Health expenditure
Afghanistan,34.5228,69.1761,21.50844383
Tuvalu,-8.6314877,179.089567,18.57411194
United States,38.8895,-77.032,17.35207748
Palau,7.34194,134.479,14.55276012
Cuba,23.1333,-82.3667,13.78746605
Liberia,6.30039,-10.7957,13.27175999
Germany,52.5235,13.4115,12.72403336
Marshall Islands,7.11046,171.135,12.49257088
Canada,45.4215,-75.6919,12.38106632
Armenia,40.1596,44.509,12.32268524
France,48.8566,2.35097,12.24894238
Austria,48.2201,16.3798,12.185215
United Kingdom,51.5002,-0.126236,12.08347321
Japan,35.67,139.77,12.08108234
Switzerland,46.948,7.44821,11.95855618
Kiribati,1.32905,172.979,11.83228588
"Micronesia, Fed. Sts.",6.91771,158.185,11.37430477
Belgium,50.8371,4.36761,11.28825092
Sweden,59.3327,18.0645,11.23013592
Portugal,38.7072,-9.13552,11.22031498
Netherlands,52.3738,4.89095,11.13498974
Argentina,-34.6118,-58.4173,11.00910187
Nauru,-0.5477,166.920867,10.85399055
Lesotho,-29.5208,27.7167,10.66165733
Denmark,55.6763,12.5681,10.65575886
Montenegro,42.4602,19.2595,10.55253506
Georgia,41.71,44.793,10.53835487
Australia,-35.282,149.129,10.51612186
West Bank and Gaza,31.9038,35.2034,10.4347353
Spain,40.4167,-3.70327,10.34419918
Namibia,-22.5648,17.0931,10.19644737
El Salvador,13.7034,-89.2073,10.12668991
Finland,60.1608,24.9525,9.90969753
Norway,59.9138,10.7387,9.8142643
Chile,-33.475,-70.6475,9.72450161
Iceland,64.1353,-21.8952,9.72073746
Brazil,-15.7801,-47.9292,9.63646507
Bosnia and Herzegovina,43.8607,18.4214,9.55514336
New Zealand,-41.2865,174.776,9.55072403
Nicaragua,12.1475,-86.2734,9.54984856
Malta,35.9042,14.5189,9.52782059
Slovenia,46.0546,14.5044,9.52724361
"Yemen, Rep.",15.352,44.2075,9.44125366
Latvia,56.9465,24.1048,9.4105072
Italy,41.8955,12.4823,9.28164482
Honduras,15.1333,-87.4667,9.27311516
Serbia,44.8024,20.4656,9.23441029
Czechia,50.0878,14.4205,9.15420723
Central African Republic,5.63056,21.6407,9.15097523
Colombia,4.60987,-74.082,9.14150524
Panama,8.99427,-79.5188,9.13571072
Greece,37.9792,23.7166,9.03178692
Burundi,-3.3784,29.3639,8.94190311
Uruguay,-34.8941,-56.0675,8.91955471
Cyprus,35.1676,33.3736,8.87445068
Maldives,4.1742,73.5109,8.85169506
South Africa,-25.746,28.1871,8.6645031
Mozambique,-25.9664,32.5713,8.64841366
Andorra,42.5075,1.5218,8.64671707
Bulgaria,42.7105,23.3238,8.58048916
North Macedonia,42.0024,21.4361,8.41851234
Guinea-Bissau,11.8037,-15.1804,8.39794922
Ecuador,-0.229498,-78.5243,8.37526226
Tajikistan,38.5878,68.7864,8.37504482
"Korea, Rep.",37.5323,126.957,8.34412766
Ukraine,50.4536,30.5038,8.2027483
Bolivia,-13.9908,-66.1936,8.16016769
Croatia,45.8069,15.9614,8.08265686
Paraguay,-25.3005,-57.6362,8.03277016
Jamaica,17.9927,-76.792,8.00261688
Sao Tome and Principe,0.20618,6.6071,7.85889721
Israel,31.7717,35.2035,7.83961058
Moldova,47.0167,28.8497,7.7490406
Lithuania,54.6896,25.2799,7.73210812
Jordan,31.9497,35.9263,7.69733906
Slovak Republic,48.1484,17.1073,7.62857914
Costa Rica,9.63701,-84.0089,7.61130476
Malawi,-13.9899,33.7703,7.5164628
San Marino,43.9322,12.4486,7.51272249
Estonia,59.4392,24.7586,7.47591066
Barbados,13.0935,-59.6105,7.4427762
Eswatini,-26.5225,31.4659,7.40552139
Albania,41.3317,19.8172,7.35750389
Guatemala,14.6248,-90.5328,7.35698891
Tunisia,36.7899,10.21,7.34183979
Hungary,47.4984,19.0408,7.33524847
Mongolia,47.9129,106.937,7.21042728
Trinidad and Tobago,10.6596,-61.4789,7.20521307
Samoa,-13.8314,-171.752,7.19651461
Burkina Faso,12.3605,-1.53395,7.08691931
Tonga,-21.136,-175.216,7.06254101
Fiji,-18.1149,178.399,7.06084681
Russian Federation,55.7558,37.6176,7.0299139
Uzbekistan,41.3052,69.269,6.92742586
"Bahamas, The",25.0661,-77.339,6.78537178
Peru,-12.0931,-77.0465,6.67309427
Zambia,-15.3982,28.2937,6.63951397
Mauritius,-20.1605,57.4977,6.6160841
Cabo Verde,14.9218,-23.5087,6.60773611
Belarus,53.9678,27.5766,6.56549978
Comoros,-11.6986,43.2418,6.46315002
Romania,44.4479,26.0979,6.45246983
Ireland,53.3441,-6.26749,6.44113493
Poland,52.26,21.02,6.3654809
Cambodia,11.5556,104.874,6.33888054
Dominica,15.2976,-61.39,6.31142521
Botswana,-24.6544,25.9201,6.30315065
South Sudan,4.85,31.6,6.30117083
St. Lucia,14.0,-60.9832,6.26193285
Rwanda,-1.95325,30.0587,6.23147202
St. Kitts and Nevis,17.3,-62.7309,6.16912127
Libya,32.8578,13.1072,6.05457449
Philippines,14.5515,121.035,5.97500563
Saudi Arabia,24.6748,46.6977,5.93033648
Mexico,19.427,-99.1276,5.87678003
Niger,13.514,2.1073,5.81452751
Togo,6.1228,1.2255,5.6165967
Luxembourg,49.61,6.1296,5.60806084
Myanmar,21.914,95.9562,5.53530645
Nepal,27.6939,85.3157,5.53498316
Turkmenistan,37.9509,58.3794,5.49196625
Uganda,0.314269,32.5729,5.47374916
Morocco,33.9905,-6.8704,5.45314503
Liechtenstein,47.1411,9.52148,5.38460207
Kuwait,29.3721,47.9824,5.37273169
Kyrgyz Republic,42.8851,74.6057,5.35275602
United Arab Emirates,24.4764,54.3705,5.30494308
Grenada,12.0653,-61.7449,5.27963448
St. Vincent and the Grenadines,13.2035,-61.2653,5.26607132
China,40.0495,116.286,5.25590324
Seychelles,-4.6309,55.4466,5.2088151
Sri Lanka,6.92148,79.8528,5.19427729
Thailand,13.7308,100.521,5.15399981
Singapore,1.28941,103.85,5.14599705
Iraq,33.3302,44.394,5.14179993
Dominican Republic,18.479,-69.8908,5.08839989
Sierra Leone,8.4821,-13.2134,5.07244635
Belize,17.2534,-88.7713,5.04598379
Algeria,36.7397,3.05097,5.02188873
Suriname,5.8232,-55.1679,5.01704168
Solomon Islands,-9.42676,159.949,4.94795895
Timor-Leste,-8.56667,125.567,4.9192977
"Iran, Islamic Rep.",35.6878,51.4447,4.85886621
Antigua and Barbuda,17.1175,-61.8456,4.81315422
Bhutan,27.5768,89.6177,4.78581429
Azerbaijan,40.3834,49.8932,4.68526697
Guyana,6.80461,-58.1548,4.64326477
"Egypt, Arab Rep.",30.0982,31.2461,4.60955143
Vanuatu,-17.7404,168.321,4.58828115
Kenya,-1.27975,36.8126,4.56992722
Turkiye,39.7153,32.3606,4.56065559
Viet Nam,21.0069,105.825,4.53792429
Senegal,14.7247,-17.4734,4.44256258
Lebanon,33.8872,35.5134,4.40006208
Malaysia,3.12433,101.684,4.37438345
Oman,23.6105,58.5874,4.34468651
Cameroon,3.8721,11.5174,4.34109783
Bahrain,26.1921,50.5354,4.32771444
Eritrea,15.3315,38.9183,4.17839003
"Venezuela, RB",9.08165,-69.8371,4.1022191
Nigeria,9.05804,7.48906,4.07625723
Kazakhstan,51.1879,71.4382,3.98701859
Chad,12.1048,15.0445,3.9722333
"Congo, Dem. Rep.",-4.325,15.3222,3.86727977
Ghana,5.57045,-0.20795,3.86030865
Mauritania,18.2367,-15.9824,3.78022528
Cote d'Ivoire,5.332,-4.0305,3.76207662
"Gambia, The",13.4495,-16.5885,3.74321485
Guinea,9.51667,-13.7,3.7175858
Indonesia,-6.19752,106.83,3.70634937
Monaco,43.7325,7.41891,3.67494631
Haiti,18.5392,-72.3288,3.57739854
Madagascar,-20.4667,45.7167,3.55335546
Mali,13.5667,-7.50034,3.54318666
Equatorial Guinea,3.7523,8.7741,3.5103004
Syrian Arab Republic,33.5146,36.3119,3.50403309
Tanzania,-6.17486,35.7382,3.46963334
"Congo, Rep.",-4.2767,15.2662,3.46133351
India,28.6353,77.225,3.34680939
Ethiopia,9.02274,38.7468,3.20779967
Pakistan,30.5167,72.8,2.99015832
Sudan,15.5932,32.5363,2.9669323
Benin,6.4779,2.6323,2.91589761
Qatar,25.2948,51.5082,2.8927927
Djibouti,11.5806,43.1425,2.87128091
Gabon,0.38832,9.45162,2.79254127
Lao PDR,18.5826,102.177,2.74392009
Angola,-8.81155,13.242,2.73987103
"Somalia, Fed. Rep.",2.07515,45.3254,2.73509169
Zimbabwe,-17.8312,31.0672,2.67111874
Papua New Guinea,-9.47357,147.194,2.33994722
Bangladesh,23.7055,90.4113,2.26678729
Brunei Darussalam,4.94199,114.946,2.14748693
