Loc,Lat,Lon,Infant mortality
South Sudan,4.85,31.6,71.9
Nigeria,9.05804,7.48906,70.1
"Somalia, Fed. Rep.",2.07515,45.3254,67.3
Niger,13.514,2.1073,66.9
Liberia,6.30039,-10.7957,63.6
Zimbabwe,-17.8312,31.0672,62.2
Guinea,9.51667,-13.7,61.4
Central African Republic,5.63056,21.6407,60.8
Lesotho,-29.5208,27.7167,58.4
Chad,12.1048,15.0445,58.0
"Congo, Dem. Rep.",-4.325,15.3222,57.2
Sierra Leone,8.4821,-13.2134,56.3
Afghanistan,34.5228,69.1761,49.9
Pakistan,30.5167,72.8,49.7
Mali,13.5667,-7.50034,49.3
Equatorial Guinea,3.7523,8.7741,49.2
Benin,6.4779,2.6323,46.5
Cote d'Ivoire,5.332,-4.0305,46.2
Burkina Faso,12.3605,-1.53395,44.9
Mozambique,-25.9664,32.5713,44.9
Eswatini,-26.5225,31.4659,44.7
Djibouti,11.5806,43.1425,44.4
Sudan,15.5932,32.5363,44.0
Madagascar,-20.4667,45.7167,43.7
Guinea-Bissau,11.8037,-15.1804,43.4
Cameroon,3.8721,11.5174,41.3
Haiti,18.5392,-72.3288,40.1
Kiribati,1.32905,172.979,39.8
Ethiopia,9.02274,38.7468,38.7
Malawi,-13.9899,33.7703,38.4
Namibia,-22.5648,17.0931,38.3
Uganda,0.314269,32.5729,36.2
Comoros,-11.6986,43.2418,36.0
Togo,6.1228,1.2255,35.9
Timor-Leste,-8.56667,125.567,35.7
Zambia,-15.3982,28.2937,35.0
"Yemen, Rep.",15.352,44.2075,34.9
Kenya,-1.27975,36.8126,34.7
Myanmar,21.914,95.9562,33.8
"Gambia, The",13.4495,-16.5885,33.7
Botswana,-24.6544,25.9201,33.3
Dominica,15.2976,-61.39,33.1
Angola,-8.81155,13.242,33.0
Papua New Guinea,-9.47357,147.194,32.2
Burundi,-3.3784,29.3639,31.4
Turkmenistan,37.9509,58.3794,31.3
Mauritania,18.2367,-15.9824,31.1
Rwanda,-1.95325,30.0587,30.1
Senegal,14.7247,-17.4734,30.0
Tanzania,-6.17486,35.7382,29.7
Ghana,5.57045,-0.20795,28.4
Dominican Republic,18.479,-69.8908,28.4
Lao PDR,18.5826,102.177,28.2
"Congo, Rep.",-4.2767,15.2662,27.7
Gabon,0.38832,9.45162,26.9
Eritrea,15.3315,38.9183,25.4
India,28.6353,77.225,24.5
Bangladesh,23.7055,90.4113,24.4
South Africa,-25.746,28.1871,24.3
Guyana,6.80461,-58.1548,24.0
Tajikistan,38.5878,68.7864,24.0
Fiji,-18.1149,178.399,23.5
Marshall Islands,7.11046,171.135,23.4
Nepal,27.6939,85.3157,23.1
Philippines,14.5515,121.035,22.0
"Egypt, Arab Rep.",30.0982,31.2461,21.3
"Venezuela, RB",9.08165,-69.8371,21.2
"Micronesia, Fed. Sts.",6.91771,158.185,20.9
Iraq,33.3302,44.394,20.7
Algeria,36.7397,3.05097,19.7
Palau,7.34194,134.479,19.0
Syrian Arab Republic,33.5146,36.3119,18.6
Guatemala,14.6248,-90.5328,17.7
Trinidad and Tobago,10.6596,-61.4789,17.5
Tuvalu,-8.6314877,179.089567,17.0
Cambodia,11.5556,104.874,17.0
Solomon Islands,-9.42676,159.949,16.9
West Bank and Gaza,31.9038,35.2034,16.8
Grenada,12.0653,-61.7449,16.7
Jamaica,17.9927,-76.792,16.7
Libya,32.8578,13.1072,16.3
St. Lucia,14.0,-60.9832,16.0
Indonesia,-6.19752,106.83,15.7
Morocco,33.9905,-6.8704,15.3
Suriname,5.8232,-55.1679,15.2
Paraguay,-25.3005,-57.6362,15.0
Kyrgyz Republic,42.8851,74.6057,15.0
Bolivia,-13.9908,-66.1936,14.9
Moldova,47.0167,28.8497,14.9
Vanuatu,-17.7404,168.321,14.7
Lebanon,33.8872,35.5134,14.7
"Korea, Dem. People's Rep.",39.0319,125.754,14.5
St. Kitts and Nevis,17.3,-62.7309,14.4
Bhutan,27.5768,89.6177,14.3
Mauritius,-20.1605,57.4977,13.8
Honduras,15.1333,-87.4667,13.2
Azerbaijan,40.3834,49.8932,13.2
Uzbekistan,41.3052,69.269,13.1
Seychelles,-4.6309,55.4466,13.1
Samoa,-13.8314,-171.752,12.6
Mexico,19.427,-99.1276,12.4
Viet Nam,21.0069,105.825,12.4
Brazil,-15.7801,-47.9292,12.4
Jordan,31.9497,35.9263,12.3
Nicaragua,12.1475,-86.2734,12.0
Panama,8.99427,-79.5188,11.9
British Virgin Islands,18.431389,-64.623056,11.7
Mongolia,47.9129,106.937,11.4
"Bahamas, The",25.0661,-77.339,11.3
Peru,-12.0931,-77.0465,11.3
Ecuador,-0.229498,-78.5243,11.1
Cabo Verde,14.9218,-23.5087,11.0
Belize,17.2534,-88.7713,10.9
Colombia,4.60987,-74.082,10.8
St. Vincent and the Grenadines,13.2035,-61.2653,10.7
"Iran, Islamic Rep.",35.6878,51.4447,10.6
Tunisia,36.7899,10.21,10.5
Turkiye,39.7153,32.3606,9.8
Sao Tome and Principe,0.20618,6.6071,9.5
Barbados,13.0935,-59.6105,9.4
El Salvador,13.7034,-89.2073,9.2
Armenia,40.1596,44.509,8.9
Costa Rica,9.63701,-84.0089,8.8
Brunei Darussalam,4.94199,114.946,8.7
Oman,23.6105,58.5874,8.4
Kosovo,42.565,20.926,8.3
Albania,41.3317,19.8172,8.3
Argentina,-34.6118,-58.4173,8.2
Nauru,-0.5477,166.920867,8.2
Tonga,-21.136,-175.216,8.0
Thailand,13.7308,100.521,7.9
Ukraine,50.4536,30.5038,7.8
Georgia,41.71,44.793,7.6
Kazakhstan,51.1879,71.4382,7.6
Kuwait,29.3721,47.9824,7.2
Bahrain,26.1921,50.5354,7.2
Antigua and Barbuda,17.1175,-61.8456,7.2
Malaysia,3.12433,101.684,6.9
Cuba,23.1333,-82.3667,6.5
Uruguay,-34.8941,-56.0675,6.1
Chile,-33.475,-70.6475,5.9
Romania,44.4479,26.0979,5.6
United States,38.8895,-77.032,5.5
Bosnia and Herzegovina,43.8607,18.4214,5.3
Sri Lanka,6.92148,79.8528,5.3
Slovak Republic,48.1484,17.1073,5.2
Maldives,4.1742,73.5109,5.0
Qatar,25.2948,51.5082,4.9
Malta,35.9042,14.5189,4.8
Bulgaria,42.7105,23.3238,4.8
Saudi Arabia,24.6748,46.6977,4.8
Canada,45.4215,-75.6919,4.7
Serbia,44.8024,20.4656,4.5
China,40.0495,116.286,4.4
Russian Federation,55.7558,37.6176,4.2
New Zealand,-41.2865,174.776,4.1
United Kingdom,51.5002,-0.126236,4.1
Croatia,45.8069,15.9614,4.0
United Arab Emirates,24.4764,54.3705,4.0
Cyprus,35.1676,33.3736,3.8
Poland,52.26,21.02,3.7
Switzerland,46.948,7.44821,3.4
Ireland,53.3441,-6.26749,3.4
Denmark,55.6763,12.5681,3.4
France,48.8566,2.35097,3.4
Netherlands,52.3738,4.89095,3.4
Greece,37.9792,23.7166,3.3
Belgium,50.8371,4.36761,3.2
Hungary,47.4984,19.0408,3.2
Australia,-35.282,149.129,3.1
Turks and Caicos Islands,21.4602778,-71.141389,3.1
Germany,52.5235,13.4115,3.1
North Macedonia,42.0024,21.4361,3.0
Lithuania,54.6896,25.2799,2.9
