Loc,Lat,Lon,Inflation
Lebanon,33.8872,35.5134,221.341644023365
Argentina,-34.6118,-58.4173,133.488935594175
Turkiye,39.7153,32.3606,53.8594087593315
Suriname,5.8232,-55.1679,51.5873159600861
Sierra Leone,8.4821,-13.2134,47.6428733253179
"Iran, Islamic Rep.",35.6878,51.4447,44.5791857572797
Ghana,5.57045,-0.20795,38.1069656296501
Haiti,18.5392,-72.3288,36.8135162780854
"Egypt, Arab Rep.",30.0982,31.2461,33.8847763115546
Lao PDR,18.5826,102.177,31.2301341732646
Pakistan,30.5167,72.8,30.7681280657005
Ethiopia,9.02274,38.7468,30.2188278135278
Malawi,-13.9899,33.7703,28.7897428247298
Burundi,-3.3784,29.3639,26.9414835762453
Nigeria,9.05804,7.48906,24.659550203114
Sao Tome and Principe,0.20618,6.6071,21.2589138473
Rwanda,-1.95325,30.0587,19.789546746467
Hungary,47.4984,19.0408,17.1249659678737
"Gambia, The",13.4495,-16.5885,16.9742129632327
Sri Lanka,6.92148,79.8528,16.5411742279832
Kazakhstan,51.1879,71.4382,14.5275597825952
Angola,-8.81155,13.242,13.6441017767715
Moldova,47.0167,28.8497,13.41701043813
Ukraine,50.4536,30.5038,12.8490222828559
Palau,7.34194,134.479,12.8199748216534
Serbia,44.8024,20.4656,12.3719043552519
Colombia,4.60987,-74.082,11.7359044948689
Poland,52.26,21.02,11.5289127961105
Vanuatu,-17.7404,168.321,11.1825017088175
Zambia,-15.3982,28.2937,10.884531691282
Chad,12.1048,15.0445,10.8363568399843
Kyrgyz Republic,42.8851,74.6057,10.7532770416742
Czechia,50.0878,14.4205,10.6612601372427
Slovak Republic,48.1484,17.1073,10.5319476645211
Romania,44.4479,26.0979,10.3971874764996
Mongolia,47.9129,106.937,10.347583131434
Liberia,6.30039,-10.7957,10.0944535665552
Uzbekistan,41.3052,69.269,9.95659071258018
Bangladesh,23.7055,90.4113,9.8835030377921
Madagascar,-20.4667,45.7167,9.87432675044888
Bulgaria,42.7105,23.3238,9.44284140088564
North Macedonia,42.0024,21.4361,9.36187249769015
Tunisia,36.7899,10.21,9.32899597507865
Algeria,36.7397,3.05097,9.32217375928322
Kiribati,1.32905,172.979,9.28307374517721
Estonia,59.4392,24.7586,9.15922507983982
Lithuania,54.6896,25.2799,9.11731962390475
Latvia,56.9465,24.1048,8.9380462331663
Azerbaijan,40.3834,49.8932,8.78543049849081
Iceland,64.1353,-21.8952,8.73630299937298
Montenegro,42.4602,19.2595,8.58476910455403
Sweden,59.3327,18.0645,8.5486248974891
Timor-Leste,-8.56667,125.567,8.42035103310377
Nicaragua,12.1475,-86.2734,8.38765854872536
Comoros,-11.6986,43.2418,8.37373955490996
Croatia,45.8069,15.9614,7.94128177586822
Samoa,-13.8314,-171.752,7.92164684826777
Austria,48.2201,16.3798,7.81413417002831
Guinea,9.51667,-13.7,7.80497591927973
Kenya,-1.27975,36.8126,7.67139634029402
Chile,-33.475,-70.6475,7.58168251407962
Slovenia,46.0546,14.5044,7.44687717385846
Cameroon,3.8721,11.5174,7.38281384280984
Mozambique,-25.9664,32.5713,7.12697482131851
Nepal,27.6939,85.3157,7.11587261530826
Guinea-Bissau,11.8037,-15.1804,7.10220928557059
Mauritius,-20.1605,57.4977,7.05298238454736
United Kingdom,51.5002,-0.126236,6.79396706793963
Honduras,15.1333,-87.4667,6.66325180347463
Jamaica,17.9927,-76.792,6.47413734662063
Peru,-12.0931,-77.0465,6.45561348369586
