Loc,Lat,Lon,Internet users
Saudi Arabia,24.6748,46.6977,100.0
United Arab Emirates,24.4764,54.3705,100.0
Bahrain,26.1921,50.5354,100.0
Kuwait,29.3721,47.9824,99.74731125
Luxembourg,49.61,6.1296,99.34785707
Norway,59.9138,10.7387,99.00000258
Brunei Darussalam,4.94199,114.946,98.97039795
Monaco,43.7325,7.41891,98.87049866
Denmark,55.6763,12.5681,98.77559197
Qatar,25.2948,51.5082,98.15229797
Liechtenstein,47.1411,9.52148,98.13230133
Iceland,64.1353,-21.8952,97.94860077
Malaysia,3.12433,101.684,97.69272633
"Korea, Rep.",37.5323,126.957,97.41597478
Switzerland,46.948,7.44821,97.34436623
San Marino,43.9322,12.4486,97.33640289
Netherlands,52.3738,4.89095,97.00680272
Ireland,53.3441,-6.26749,96.8660965
Australia,-35.282,149.129,96.1160965
"Hong Kong SAR, China",22.3964,114.109,95.97781908
Sweden,59.3327,18.0645,95.70327461
United Kingdom,51.5002,-0.126236,95.44719696
Spain,40.4167,-3.70327,95.44564516
Austria,48.2201,16.3798,95.33467117
Oman,23.6105,58.5874,95.25170135
Belgium,50.8371,4.36761,94.62625074
Chile,-33.475,-70.6475,94.45742345
Singapore,1.28941,103.85,94.28518987
Andorra,42.5075,1.5218,94.21499634
Canada,45.4215,-75.6919,94.14530182
United States,38.8895,-77.032,93.52559662
Finland,60.1608,24.9525,93.51385075
New Zealand,-41.2865,174.776,93.32610321
Estonia,59.4392,24.7586,93.18342241
Kazakhstan,51.1879,71.4382,92.87846096
Jordan,31.9497,35.9263,92.53443944
Germany,52.5235,13.4115,92.4763763
"Bahamas, The",25.0661,-77.339,92.38729858
Russian Federation,55.7558,37.6176,92.24496346
Latvia,56.9465,24.1048,92.18791291
Malta,35.9042,14.5189,92.07266941
Belarus,53.9678,27.5766,91.51249979
Hungary,47.4984,19.0408,91.4500713
Cyprus,35.1676,33.3736,91.22110357
Kyrgyz Republic,42.8851,74.6057,91.04440308
Morocco,33.9905,-6.8704,91.0
Uruguay,-34.8941,-56.0675,90.92590332
China,40.0495,116.286,90.6
Slovenia,46.0546,14.5044,90.37794678
Bhutan,27.5768,89.6177,90.02140045
"Macao SAR, China",22.1667,113.55,89.82640076
Thailand,13.7308,100.521,89.53525238
Jamaica,17.9927,-76.792,89.47304282
Argentina,-34.6118,-58.4173,89.22897166
Romania,44.4479,26.0979,89.20335498
Uzbekistan,41.3052,69.269,89.01361047
