Loc,Lat,Lon,Land area
Russian Federation,55.7558,37.6176,16376870
China,40.0495,116.286,9388210
United States,38.8895,-77.032,9147420
Canada,45.4215,-75.6919,8788700
Brazil,-15.7801,-47.9292,8358140
Australia,-35.282,149.129,7692020
India,28.6353,77.225,2973190
Argentina,-34.6118,-58.4173,2736690
Kazakhstan,51.1879,71.4382,2699700
Algeria,36.7397,3.05097,2381740
"Congo, Dem. Rep.",-4.325,15.3222,2267050
Saudi Arabia,24.6748,46.6977,2149690
Mexico,19.427,-99.1276,1943950
Indonesia,-6.19752,106.83,1892555
Sudan,15.5932,32.5363,1868000
Libya,32.8578,13.1072,1759540
"Iran, Islamic Rep.",35.6878,51.4447,1622500
Mongolia,47.9129,106.937,1557507
Peru,-12.0931,-77.0465,1280000
Niger,13.514,2.1073,1266700
Chad,12.1048,15.0445,1259200
Angola,-8.81155,13.242,1246700
Mali,13.5667,-7.50034,1220190
South Africa,-25.746,28.1871,1213090
Ethiopia,9.02274,38.7468,1128506
Colombia,4.60987,-74.082,1109500
Bolivia,-13.9908,-66.1936,1083300
Mauritania,18.2367,-15.9824,1030700
"Egypt, Arab Rep.",30.0982,31.2461,995450
Nigeria,9.05804,7.48906,910770
Tanzania,-6.17486,35.7382,885800
"Venezuela, RB",9.08165,-69.8371,882050
Namibia,-22.5648,17.0931,823290
Mozambique,-25.9664,32.5713,786380
Pakistan,30.5167,72.8,770880
Turkiye,39.7153,32.3606,769630
Zambia,-15.3982,28.2937,743390
Chile,-33.475,-70.6475,742832
Myanmar,21.914,95.9562,652670
Afghanistan,34.5228,69.1761,652230
South Sudan,4.85,31.6,631930
"Somalia, Fed. Rep.",2.07515,45.3254,627340
Central African Republic,5.63056,21.6407,622980
Madagascar,-20.4667,45.7167,581800
Kenya,-1.27975,36.8126,580876
Ukraine,50.4536,30.5038,579400
Botswana,-24.6544,25.9201,566730
France,48.8566,2.35097,538950
"Yemen, Rep.",15.352,44.2075,527970
Thailand,13.7308,100.521,510890
Spain,40.4167,-3.70327,499733
Cameroon,3.8721,11.5174,472710
Turkmenistan,37.9509,58.3794,469930
Papua New Guinea,-9.47357,147.194,452860
Morocco,33.9905,-6.8704,446300
Uzbekistan,41.3052,69.269,440653
Iraq,33.3302,44.394,434130
Greenland,64.1836,-51.7214,410450
Sweden,59.3327,18.0645,407280
Paraguay,-25.3005,-57.6362,397300
Zimbabwe,-17.8312,31.0672,386850
Japan,35.67,139.77,364500
Norway,59.9138,10.7387,364270
Germany,52.5235,13.4115,349390
"Congo, Rep.",-4.2767,15.2662,341500
Malaysia,3.12433,101.684,328550
Cote d'Ivoire,5.332,-4.0305,318000
Viet Nam,21.0069,105.825,313429
Oman,23.6105,58.5874,309500
Poland,52.26,21.02,306100
Finland,60.1608,24.9525,303948
Philippines,14.5515,121.035,298170
Italy,41.8955,12.4823,295717
Burkina Faso,12.3605,-1.53395,273600
New Zealand,-41.2865,174.776,263310
Gabon,0.38832,9.45162,257670
Ecuador,-0.229498,-78.5243,248360
Guinea,9.51667,-13.7,245720
United Kingdom,51.5002,-0.126236,241930
Lao PDR,18.5826,102.177,230800
Romania,44.4479,26.0979,230080
Ghana,5.57045,-0.20795,227533
Guyana,6.80461,-58.1548,211140
Belarus,53.9678,27.5766,202950
Uganda,0.314269,32.5729,200520
Senegal,14.7247,-17.4734,192530
Kyrgyz Republic,42.8851,74.6057,191800
Syrian Arab Republic,33.5146,36.3119,183630
Cambodia,11.5556,104.874,176520
Uruguay,-34.8941,-56.0675,175020
Suriname,5.8232,-55.1679,160508
Tunisia,36.7899,10.21,155360
Nepal,27.6939,85.3157,143350
Tajikistan,38.5878,68.7864,138790
Bangladesh,23.7055,90.4113,130170
Greece,37.9792,23.7166,128900
Eritrea,15.3315,38.9183,121178
"Korea, Dem. People's Rep.",39.0319,125.754,120410
Nicaragua,12.1475,-86.2734,120340
Benin,6.4779,2.6323,112760
Honduras,15.1333,-87.4667,111890
Bulgaria,42.7105,23.3238,108560
Guatemala,14.6248,-90.5328,107160
Cuba,23.1333,-82.3667,103800
Iceland,64.1353,-21.8952,100830
"Korea, Rep.",37.5323,126.957,97600
Liberia,6.30039,-10.7957,96320
Malawi,-13.9899,33.7703,94280
Portugal,38.7072,-9.13552,91606
Hungary,47.4984,19.0408,91260
Jordan,31.9497,35.9263,88794
Serbia,44.8024,20.4656,84090
Azerbaijan,40.3834,49.8932,82650
Austria,48.2201,16.3798,82520
Czechia,50.0878,14.4205,77187
Panama,8.99427,-79.5188,74180
Sierra Leone,8.4821,-13.2134,72180
United Arab Emirates,24.4764,54.3705,71020
Georgia,41.71,44.793,69490
Ireland,53.3441,-6.26749,68890
Lithuania,54.6896,25.2799,62610
Latvia,56.9465,24.1048,62230
Sri Lanka,6.92148,79.8528,61860
Croatia,45.8069,15.9614,55960
Togo,6.1228,1.2255,54390
Bosnia and Herzegovina,43.8607,18.4214,51200
Costa Rica,9.63701,-84.0089,51060
Dominican Republic,18.479,-69.8908,48198
Slovak Republic,48.1484,17.1073,48080
Estonia,59.4392,24.7586,42750
Denmark,55.6763,12.5681,40000
Switzerland,46.948,7.44821,39510
Bhutan,27.5768,89.6177,38140
Netherlands,52.3738,4.89095,33670
Moldova,47.0167,28.8497,32890
Belgium,50.8371,4.36761,30494
Lesotho,-29.5208,27.7167,30360
Armenia,40.1596,44.509,28197
Guinea-Bissau,11.8037,-15.1804,28120
Equatorial Guinea,3.7523,8.7741,28050
Solomon Islands,-9.42676,159.949,27990
Haiti,18.5392,-72.3288,27560
Albania,41.3317,19.8172,27400
Burundi,-3.3784,29.3639,25680
North Macedonia,42.0024,21.4361,25220
Rwanda,-1.95325,30.0587,24670
Djibouti,11.5806,43.1425,23180
Belize,17.2534,-88.7713,22810
Israel,31.7717,35.2035,21640
El Salvador,13.7034,-89.2073,20720
Slovenia,46.0546,14.5044,20136
New Caledonia,-22.2677,166.464,18280
Fiji,-18.1149,178.399,18270
Kuwait,29.3721,47.9824,17820
Eswatini,-26.5225,31.4659,17200
Timor-Leste,-8.56667,125.567,14870
Montenegro,42.4602,19.2595,13450
Vanuatu,-17.7404,168.321,12190
Qatar,25.2948,51.5082,11490
Jamaica,17.9927,-76.792,10830
Lebanon,33.8872,35.5134,10230
"Gambia, The",13.4495,-16.5885,10120
"Bahamas, The",25.0661,-77.339,10010
Cyprus,35.1676,33.3736,9240
Puerto Rico (US),18.23,-66.0,8870
West Bank and Gaza,31.9038,35.2034,6025
Brunei Darussalam,4.94199,114.946,5270
Trinidad and Tobago,10.6596,-61.4789,5130
Cabo Verde,14.9218,-23.5087,4030
French Polynesia,-17.535,-149.57,3471
Samoa,-13.8314,-171.752,2780
Luxembourg,49.61,6.1296,2574
Mauritius,-20.1605,57.4977,1997
Comoros,-11.6986,43.2418,1861
Faroe Islands,61.8926,-6.91181,1370
"Hong Kong SAR, China",22.3964,114.109,1050
Sao Tome and Principe,0.20618,6.6071,960
Turks and Caicos Islands,21.4602778,-71.141389,950
Kiribati,1.32905,172.979,810
Bahrain,26.1921,50.5354,790
Dominica,15.2976,-61.39,750
Tonga,-21.136,-175.216,720
Singapore,1.28941,103.85,718
"Micronesia, Fed. Sts.",6.91771,158.185,700
St. Lucia,14.0,-60.9832,610
Isle of Man,54.1509,-4.47928,570
Guam,13.4443,144.794,540
Andorra,42.5075,1.5218,470
Seychelles,-4.6309,55.4466,460
Palau,7.34194,134.479,460
Northern Mariana Islands,15.1935,145.765,460
Curacao,12.108,-68.9335,444
Antigua and Barbuda,17.1175,-61.8456,440
Barbados,13.0935,-59.6105,430
St. Vincent and the Grenadines,13.2035,-61.2653,390
Virgin Islands (U.S.),18.3358,-64.8963,350
Grenada,12.0653,-61.7449,340
Malta,35.9042,14.5189,320
Maldives,4.1742,73.5109,300
St. Kitts and Nevis,17.3,-62.7309,260
Cayman Islands,19.3022,-81.3857,240
American Samoa,-14.2846,-170.691,200
Channel Islands,49.4556,-2.5361,198
Marshall Islands,7.11046,171.135,180
Aruba,12.5167,-70.0167,180
