Loc,Lat,Lon,Life expectancy
Monaco,43.7325,7.41891,86.372
San Marino,43.9322,12.4486,85.706
"Hong Kong SAR, China",22.3964,114.109,85.2473170731707
Liechtenstein,47.1411,9.52148,84.5951219512195
Switzerland,46.948,7.44821,84.1560975609756
French Polynesia,-17.535,-149.57,84.07
Japan,35.67,139.77,84.0412195121951
Andorra,42.5075,1.5218,84.041
Spain,40.4167,-3.70327,83.9341463414634
Gibraltar,36.1408,-5.3536,83.553
"Korea, Rep.",37.5323,126.957,83.4292682926829
Malta,35.9042,14.5189,83.3560975609756
Italy,41.8955,12.4823,83.3512195121951
Luxembourg,49.61,6.1296,83.309756097561
Sweden,59.3327,18.0645,83.309756097561
Israel,31.7717,35.2035,83.1951219512195
Kuwait,29.3721,47.9824,83.1878048780488
"Macao SAR, China",22.1667,113.55,83.1804878048781
Singapore,1.28941,103.85,83.0975609756098
Australia,-35.282,149.129,83.0512195121951
Norway,59.9138,10.7387,83.0121951219512
Faroe Islands,61.8926,-6.91181,82.9521195121951
United Arab Emirates,24.4764,54.3705,82.909
France,48.8566,2.35097,82.8317073170732
Ireland,53.3441,-6.26749,82.8073170731707
Iceland,64.1353,-21.8952,82.4560975609756
Belgium,50.8371,4.36761,82.4
Qatar,25.2948,51.5082,82.368
Portugal,38.7072,-9.13552,82.3292682926829
Bermuda,32.3293,-64.706,82.309
Slovenia,46.0546,14.5044,81.9292682926829
Netherlands,52.3738,4.89095,81.8634146341464
Austria,48.2201,16.3798,81.7926829268293
New Zealand,-41.2865,174.776,81.7585365853659
Denmark,55.6763,12.5681,81.7536585365854
Greece,37.9792,23.7166,81.7365853658537
Puerto Rico (US),18.23,-66.0,81.69
Cyprus,35.1676,33.3736,81.648
Canada,45.4215,-75.6919,81.6263414634146
Finland,60.1608,24.9525,81.5853658536585
Bahrain,26.1921,50.5354,81.284
United Kingdom,51.5002,-0.126236,81.2380975609756
Chile,-33.475,-70.6475,81.167
Channel Islands,49.4556,-2.5361,81.1
Germany,52.5235,13.4115,81.0414634146342
Maldives,4.1742,73.5109,81.041
Isle of Man,54.1509,-4.47928,80.999
Costa Rica,9.63701,-84.0089,80.799
Virgin Islands (U.S.),18.3358,-64.8963,80.519512195122
Cayman Islands,19.3022,-81.3857,80.358
St. Martin (French part),18.0708,-63.0847,80.224
Oman,23.6105,58.5874,80.031
Czechia,50.0878,14.4205,79.8268292682927
Albania,41.3317,19.8172,79.602
Panama,8.99427,-79.5188,79.594
Northern Mariana Islands,15.1935,145.765,78.808
Estonia,59.4392,24.7586,78.7926829268293
New Caledonia,-22.2677,166.464,78.766
Saudi Arabia,24.6748,46.6977,78.732
Croatia,45.8069,15.9614,78.4731707317073
United States,38.8895,-77.032,78.3853658536585
Poland,52.26,21.02,78.2585365853659
Uruguay,-34.8941,-56.0675,78.138
Slovak Republic,48.1484,17.1073,78.119512195122
Cuba,23.1333,-82.3667,78.085
Kosovo,42.565,20.926,78.033
Turks and Caicos Islands,21.4602778,-71.141389,78.008
China,40.0495,116.286,77.953
Bosnia and Herzegovina,43.8607,18.4214,77.85
Lebanon,33.8872,35.5134,77.817
Jordan,31.9497,35.9263,77.814
Peru,-12.0931,-77.0465,77.74
Colombia,4.60987,-74.082,77.725
"Iran, Islamic Rep.",35.6878,51.4447,77.654
Antigua and Barbuda,17.1175,-61.8456,77.598
Montenegro,42.4602,19.2595,77.5878048780488
Sri Lanka,6.92148,79.8528,77.483
Armenia,40.1596,44.509,77.4658536585366
Argentina,-34.6118,-58.4173,77.395
Ecuador,-0.229498,-78.5243,77.392
Lithuania,54.6896,25.2799,77.290243902439
British Virgin Islands,18.431389,-64.623056,77.276
Guam,13.4443,144.794,77.209
Turkiye,39.7153,32.3606,77.156
Curacao,12.108,-68.9335,76.8
Malaysia,3.12433,101.684,76.657
Hungary,47.4984,19.0408,76.5707317073171
Tunisia,36.7899,10.21,76.508
