Loc,Lat,Lon,Literacy rate
Uzbekistan,41.3052,69.269,100.0
Tuvalu,-8.6314877,179.089567,100.0
San Marino,43.9322,12.4486,99.9100036621094
Turkmenistan,37.9509,58.3794,99.9000015258789
Armenia,40.1596,44.509,99.8199996948242
Georgia,41.71,44.793,99.5699996948242
Serbia,44.8024,20.4656,99.3399963378906
Uruguay,-34.8941,-56.0675,98.8499984741211
Mongolia,47.9129,106.937,98.7300033569336
United Arab Emirates,24.4764,54.3705,98.2900009155273
Bahrain,26.1921,50.5354,97.870002746582
West Bank and Gaza,31.9038,35.2034,97.8399963378906
Oman,23.6105,58.5874,97.3399963378906
Ecuador,-0.229498,-78.5243,96.2600021362305
Viet Nam,21.0069,105.825,96.129997253418
Malaysia,3.12433,101.684,95.7699966430664
Colombia,4.60987,-74.082,95.31030793119
Mexico,19.427,-99.1276,95.120002746582
Brazil,-15.7801,-47.9292,94.376866160108
Dominican Republic,18.479,-69.8908,93.7022375646963
Sri Lanka,6.92148,79.8528,92.4899978637695
Thailand,13.7308,100.521,91.0999984741211
Eswatini,-26.5225,31.4659,90.75
El Salvador,13.7034,-89.2073,89.3537151570456
"Iran, Islamic Rep.",35.6878,51.4447,88.5942297159365
Honduras,15.1333,-87.4667,88.2192789618317
Belize,17.2534,-88.7713,87.879997253418
Papua New Guinea,-9.47357,147.194,87.0046890533686
Guatemala,14.6248,-90.5328,83.0299987792969
Zambia,-15.3982,28.2937,79.9841479741156
"Egypt, Arab Rep.",30.0982,31.2461,79.4531619498685
Bangladesh,23.7055,90.4113,79.0
Rwanda,-1.95325,30.0587,78.7600021362305
Tanzania,-6.17486,35.7382,78.2099990844727
India,28.6353,77.225,76.3199996948242
Togo,6.1228,1.2255,72.5999984741211
Timor-Leste,-8.56667,125.567,69.4000015258789
Bhutan,27.5768,89.6177,64.9100036621094
Guinea-Bissau,11.8037,-15.1804,63.9300003051758
Mozambique,-25.9664,32.5713,61.6653441678133
Ethiopia,9.02274,38.7468,60.4599990844727
"Somalia, Fed. Rep.",2.07515,45.3254,54.1199989318848
Benin,6.4779,2.6323,51.3800010681152
Burkina Faso,12.3605,-1.53395,40.9199981689453
Niger,13.514,2.1073,35.6100006103516
