Loc,Lat,Lon,Military expenditure
Ukraine,50.4536,30.5038,25.6424104715416
Qatar,25.2948,51.5082,6.50020565272303
Saudi Arabia,24.6748,46.6977,6.39742215278993
Oman,23.6105,58.5874,5.2647590817834
Jordan,31.9497,35.9263,4.798376906378
Russian Federation,55.7558,37.6176,4.60728884010235
Kuwait,29.3721,47.9824,4.51075426849442
Israel,31.7717,35.2035,4.43301220057923
Libya,32.8578,13.1072,4.34666046441666
Myanmar,21.914,95.9562,4.17058942838215
Togo,6.1228,1.2255,4.14153649480957
Armenia,40.1596,44.509,4.08174595925594
Algeria,36.7397,3.05097,4.05748811460294
Greece,37.9792,23.7166,4.00035246143373
Morocco,33.9905,-6.8704,3.81341286888659
Azerbaijan,40.3834,49.8932,3.79537025080483
Bahrain,26.1921,50.5354,3.42339334548769
United States,38.8895,-77.032,3.30947715843109
Pakistan,30.5167,72.8,3.17683202352522
Mali,13.5667,-7.50034,3.09091717190995
Burkina Faso,12.3605,-1.53395,2.98161566942536
Namibia,-22.5648,17.0931,2.91089959085182
Kyrgyz Republic,42.8851,74.6057,2.90437000597407
Colombia,4.60987,-74.082,2.79798282722927
Brunei Darussalam,4.94199,114.946,2.61193002463948
Burundi,-3.3784,29.3639,2.59858091417074
"Korea, Rep.",37.5323,126.957,2.57642560395009
Tunisia,36.7899,10.21,2.5712401122127
Botswana,-24.6544,25.9201,2.51778285669486
Lithuania,54.6896,25.2799,2.44457587877222
Singapore,1.28941,103.85,2.40634363671921
India,28.6353,77.225,2.38309809835882
Latvia,56.9465,24.1048,2.25461931057619
Ecuador,-0.229498,-78.5243,2.21851529975547
Mozambique,-25.9664,32.5713,2.20848120068367
Poland,52.26,21.02,2.20458906428882
Guinea,9.51667,-13.7,2.18865717393084
Serbia,44.8024,20.4656,2.17267406821898
Estonia,59.4392,24.7586,2.13485210963824
"Iran, Islamic Rep.",35.6878,51.4447,2.11062130699384
Mauritania,18.2367,-15.9824,2.05903871155909
United Kingdom,51.5002,-0.126236,2.05691855462534
Chad,12.1048,15.0445,2.0442448086408
Uruguay,-34.8941,-56.0675,2.04278364297671
France,48.8566,2.35097,1.95772067476703
Tajikistan,38.5878,68.7864,1.93089624067946
"Congo, Rep.",-4.2767,15.2662,1.90798488893194
Australia,-35.282,149.129,1.88329708969124
Uganda,0.314269,32.5729,1.84520857089792
Hungary,47.4984,19.0408,1.83314817173654
Croatia,45.8069,15.9614,1.80285265162096
Slovak Republic,48.1484,17.1073,1.80127696639016
Romania,44.4479,26.0979,1.75011695275109
Cyprus,35.1676,33.3736,1.72118847605333
Central African Republic,5.63056,21.6407,1.71086224316852
Turkiye,39.7153,32.3606,1.65879843534611
Eswatini,-26.5225,31.4659,1.65499533493805
Italy,41.8955,12.4823,1.65164252620196
Belarus,53.9678,27.5766,1.64869313490861
Iraq,33.3302,44.394,1.64001134527485
China,40.0495,116.286,1.63053389156959
Georgia,41.71,44.793,1.60787681983081
Finland,60.1608,24.9525,1.58854518946055
Bulgaria,42.7105,23.3238,1.58707500372134
North Macedonia,42.0024,21.4361,1.58059754666542
South Sudan,4.85,31.6,1.57467379753671
Montenegro,42.4602,19.2595,1.57303708395214
Niger,13.514,2.1073,1.5729764923811
Cambodia,11.5556,104.874,1.54188348947322
Chile,-33.475,-70.6475,1.54099069337002
Senegal,14.7247,-17.4734,1.52411336065101
Ethiopia,9.02274,38.7468,1.50594072756186
Lesotho,-29.5208,27.7167,1.47290152655986
Honduras,15.1333,-87.4667,1.46557698015697
Norway,59.9138,10.7387,1.46436961628818
El Salvador,13.7034,-89.2073,1.43329011743175
Angola,-8.81155,13.242,1.410163657162
Spain,40.4167,-3.70327,1.4055469125943
Guinea-Bissau,11.8037,-15.1804,1.39829187831807
Lebanon,33.8872,35.5134,1.39503764342103
Portugal,38.7072,-9.13552,1.38999857860246
Timor-Leste,-8.56667,125.567,1.38083515113743
Denmark,55.6763,12.5681,1.36156457421085
Fiji,-18.1149,178.399,1.36090769946015
Gabon,0.38832,9.45162,1.3582460776711
Germany,52.5235,13.4115,1.35030514561756
Sri Lanka,6.92148,79.8528,1.3433273089473
Rwanda,-1.95325,30.0587,1.33346574344023
Sweden,59.3327,18.0645,1.33147661923348
Czechia,50.0878,14.4205,1.32690210545667
Philippines,14.5515,121.035,1.31630135538263
Liberia,6.30039,-10.7957,1.31348766985405
Netherlands,52.3738,4.89095,1.30419995572639
Equatorial Guinea,3.7523,8.7741,1.3031878031878
Slovenia,46.0546,14.5044,1.29505522763484
Jamaica,17.9927,-76.792,1.2899994472516
Thailand,13.7308,100.521,1.24105269630565
Albania,41.3317,19.8172,1.20878861551122
Tanzania,-6.17486,35.7382,1.19134153738855
New Zealand,-41.2865,174.776,1.17089864666233
Canada,45.4215,-75.6919,1.16713259486345
"Somalia, Fed. Rep.",2.07515,45.3254,1.16300107811428
Belgium,50.8371,4.36761,1.16246551287247
Nepal,27.6939,85.3157,1.15743842490309
Kosovo,42.565,20.926,1.15004614573509
Seychelles,-4.6309,55.4466,1.1392449640985
Peru,-12.0931,-77.0465,1.135133506685
Zambia,-15.3982,28.2937,1.1165478995702
Brazil,-15.7801,-47.9292,1.05240083845945
"Egypt, Arab Rep.",30.0982,31.2461,1.01475596559521
Kenya,-1.27975,36.8126,1.01020520038813
Japan,35.67,139.77,1.00994395391657
Zimbabwe,-17.8312,31.0672,0.994988109351456
Bangladesh,23.7055,90.4113,0.990983394484057
Belize,17.2534,-88.7713,0.979173785897568
Bolivia,-13.9908,-66.1936,0.973250888476219
Cameroon,3.8721,11.5174,0.939352946747924
Malawi,-13.9899,33.7703,0.933234952541455
Malaysia,3.12433,101.684,0.902025405170821
Paraguay,-25.3005,-57.6362,0.871127145265658
Cote d'Ivoire,5.332,-4.0305,0.865226904910508
South Africa,-25.746,28.1871,0.798457056094626
Indonesia,-6.19752,106.83,0.76801260357697
Austria,48.2201,16.3798,0.766706008326772
Trinidad and Tobago,10.6596,-61.4789,0.765634931845469
Bosnia and Herzegovina,43.8607,18.4214,0.752028730749218
"Gambia, The",13.4495,-16.5885,0.705923163360025
Mexico,19.427,-99.1276,0.685819352028866
Argentina,-34.6118,-58.4173,0.684586409291956
Switzerland,46.948,7.44821,0.682061302644033
Dominican Republic,18.479,-69.8908,0.679073001629194
Madagascar,-20.4667,45.7167,0.653151211221591
Nigeria,9.05804,7.48906,0.650166691789414
"Venezuela, RB",9.08165,-69.8371,0.649886788939365
Benin,6.4779,2.6323,0.632087491743063
Luxembourg,49.61,6.1296,0.625325775260002
Guyana,6.80461,-58.1548,0.601394233025198
Sierra Leone,8.4821,-13.2134,0.582258374348818
"Congo, Dem. Rep.",-4.325,15.3222,0.567707215239695
Nicaragua,12.1475,-86.2734,0.537113968209365
Kazakhstan,51.1879,71.4382,0.517435849596282
Mongolia,47.9129,106.937,0.513936273012978
Guatemala,14.6248,-90.5328,0.461665961921935
Cabo Verde,14.9218,-23.5087,0.456081005090828
Papua New Guinea,-9.47357,147.194,0.420977241775767
Malta,35.9042,14.5189,0.411834981751042
Moldova,47.0167,28.8497,0.360059008856848
Ghana,5.57045,-0.20795,0.337946355940024
Ireland,53.3441,-6.26749,0.212502380914468
Mauritius,-20.1605,57.4977,0.138698687184487
Haiti,18.5392,-72.3288,0.0687408576027912
