Loc,Lat,Lon,Mobile subscriptions
Fiji,-18.1149,178.399,361.048644963723
"Hong Kong SAR, China",22.3964,114.109,319.493898344345
Montenegro,42.4602,19.2595,207.237922064803
United Arab Emirates,24.4764,54.3705,199.423843889179
"Macao SAR, China",22.1667,113.55,192.478344669931
Russian Federation,55.7558,37.6176,180.841776534047
El Salvador,13.7034,-89.2073,179.705636976149
Botswana,-24.6544,25.9201,179.027305378019
Japan,35.67,139.77,178.432441299977
Singapore,1.28941,103.85,173.199932977376
Cote d'Ivoire,5.332,-4.0305,171.988943341282
South Africa,-25.746,28.1871,171.508619260428
Thailand,13.7308,100.521,168.642808295144
Kuwait,29.3721,47.9824,167.68428501222
Colombia,4.60987,-74.082,166.980107777443
"Iran, Islamic Rep.",35.6878,51.4447,166.279821209677
Mauritius,-20.1605,57.4977,165.257524411348
"Korea, Rep.",37.5323,126.957,162.11365652794
Qatar,25.2948,51.5082,157.82063065065
Saudi Arabia,24.6748,46.6977,157.775388696083
Suriname,5.8232,-55.1679,157.24614636039
Panama,8.99427,-79.5188,156.586507591014
Andorra,42.5075,1.5218,156.09725932522
Georgia,41.71,44.793,155.249965068869
Bahrain,26.1921,50.5354,153.899937948583
Israel,31.7717,35.2035,153.336641345572
Estonia,59.4392,24.7586,150.195729068839
Cyprus,35.1676,33.3736,148.333712748344
Morocco,33.9905,-6.8704,148.155101338402
Luxembourg,49.61,6.1296,144.474949556306
Malaysia,3.12433,101.684,142.7320920639
Sri Lanka,6.92148,79.8528,142.277402587724
Uruguay,-34.8941,-56.0675,141.71948663565
Maldives,4.1742,73.5109,141.601234995076
Mongolia,47.9129,106.937,141.08481753135
Malta,35.9042,14.5189,140.59359496844
Sweden,59.3327,18.0645,140.265691285045
Slovak Republic,48.1484,17.1073,138.232946210214
Argentina,-34.6118,-58.4173,137.706086781571
Lithuania,54.6896,25.2799,137.203719983084
Chile,-33.475,-70.6475,135.871118507277
Palau,7.34194,134.479,135.386698256896
Poland,52.26,21.02,135.146301442691
Armenia,40.1596,44.509,134.519957069953
Trinidad and Tobago,10.6596,-61.4789,134.230557337258
Costa Rica,9.63701,-84.0089,133.527658761832
Ukraine,50.4536,30.5038,133.38012811971
Tunisia,36.7899,10.21,132.653682480562
Italy,41.8955,12.4823,131.871674517747
Viet Nam,21.0069,105.825,130.991428667547
Switzerland,46.948,7.44821,130.221876609608
Moldova,47.0167,28.8497,129.546081439289
Seychelles,-4.6309,55.4466,129.24400747161
Slovenia,46.0546,14.5044,129.227963043737
Belarus,53.9678,27.5766,128.979176539764
Serbia,44.8024,20.4656,128.471147595832
Eswatini,-26.5225,31.4659,128.399211381334
China,40.0495,116.286,128.247014127486
Guinea-Bissau,11.8037,-15.1804,128.110529740092
Spain,40.4167,-3.70327,127.715490236713
Finland,60.1608,24.9525,127.47302579722
Kazakhstan,51.1879,71.4382,127.114775212168
Liechtenstein,47.1411,9.52148,127.059447446841
New Zealand,-41.2865,174.776,126.854978584281
Denmark,55.6763,12.5681,126.717092547985
Paraguay,-25.3005,-57.6362,126.605481531224
Czechia,50.0878,14.4205,126.004753501387
Netherlands,52.3738,4.89095,125.272736960305
Indonesia,-6.19752,106.83,125.238194847046
Germany,52.5235,13.4115,124.662572774586
Puerto Rico (US),18.23,-66.0,124.513459651582
Senegal,14.7247,-17.4734,123.911572643075
Romania,44.4479,26.0979,123.252482585042
Portugal,38.7072,-9.13552,123.001507659381
United Kingdom,51.5002,-0.126236,122.781542240418
Gabon,0.38832,9.45162,122.606627765979
Oman,23.6105,58.5874,122.291457994634
Peru,-12.0931,-77.0465,121.975084691173
Austria,48.2201,16.3798,121.746207105931
Iceland,64.1353,-21.8952,121.475495280706
Myanmar,21.914,95.9562,121.027626770248
Cambodia,11.5556,104.874,120.80911943838
Kenya,-1.27975,36.8126,120.612416887959
Latvia,56.9465,24.1048,119.909944560018
St. Kitts and Nevis,17.3,-62.7309,118.893023653706
French Polynesia,-17.535,-149.57,118.777524029055
Brunei Darussalam,4.94199,114.946,118.673752421293
Bulgaria,42.7105,23.3238,117.932685806225
Nepal,27.6939,85.3157,117.759577544938
Bosnia and Herzegovina,43.8607,18.4214,117.733690876159
Philippines,14.5515,121.035,117.275521687262
"Gambia, The",13.4495,-16.5885,117.115660832998
Croatia,45.8069,15.9614,117.112604314708
France,48.8566,2.35097,116.687800394775
Burkina Faso,12.3605,-1.53395,116.16313821519
Benin,6.4779,2.6323,116.036046685168
Jamaica,17.9927,-76.792,115.092228780619
Guatemala,14.6248,-90.5328,113.709374947241
Cabo Verde,14.9218,-23.5087,113.022968194497
Timor-Leste,-8.56667,125.567,112.647241971673
Australia,-35.282,149.129,112.513177133796
United States,38.8895,-77.032,112.410910606372
Mexico,19.427,-99.1276,111.735420288549
Algeria,36.7397,3.05097,111.60623555659
Bangladesh,23.7055,90.4113,111.280894357567
Ireland,53.3441,-6.26749,110.798344311602
Greece,37.9792,23.7166,110.79216956747
Comoros,-11.6986,43.2418,109.855630436495
Norway,59.9138,10.7387,109.654228618195
Kyrgyz Republic,42.8851,74.6057,108.59118718329
Azerbaijan,40.3834,49.8932,107.686732782159
Uzbekistan,41.3052,69.269,106.884847592051
North Macedonia,42.0024,21.4361,106.458776658176
Nicaragua,12.1475,-86.2734,105.843136180202
Turkiye,39.7153,32.3606,105.684032912794
Tanzania,-6.17486,35.7382,105.40028112088
Hungary,47.4984,19.0408,105.054424922699
Monaco,43.7325,7.41891,104.060991888284
Belgium,50.8371,4.36761,103.196426365374
Zambia,-15.3982,28.2937,102.06156495632
St. Vincent and the Grenadines,13.2035,-61.2653,101.631416361537
Iraq,33.3302,44.394,101.388721479182
Ecuador,-0.229498,-78.5243,101.031752745524
Brazil,-15.7801,-47.9292,101.020256020808
"Bahamas, The",25.0661,-77.339,100.047566593231
Ghana,5.57045,-0.20795,98.8059221412722
Nigeria,9.05804,7.48906,98.4772822731425
Guinea,9.51667,-13.7,97.8794996455513
Cameroon,3.8721,11.5174,96.4817325902196
Bhutan,27.5768,89.6177,95.6260610260877
"Congo, Rep.",-4.2767,15.2662,94.8715365076336
Canada,45.4215,-75.6919,94.1497268194785
Curacao,12.108,-68.9335,93.7975591472655
Albania,41.3317,19.8172,92.9973271969712
"Egypt, Arab Rep.",30.0982,31.2461,92.8261626420085
Dominican Republic,18.479,-69.8908,91.8676246650308
Zimbabwe,-17.8312,31.0672,91.6344110473757
Rwanda,-1.95325,30.0587,91.4622704078141
British Virgin Islands,18.431389,-64.623056,90.8246761574965
Mauritania,18.2367,-15.9824,90.7724948884417
Vanuatu,-17.7404,168.321,89.2943082123161
Namibia,-22.5648,17.0931,87.6760954339972
India,28.6353,77.225,80.5631998772888
West Bank and Gaza,31.9038,35.2034,76.6918854204372
Pakistan,30.5167,72.8,76.5397606213172
Uganda,0.314269,32.5729,76.2966796632588
Tajikistan,38.5878,68.7864,76.215892145748
Togo,6.1228,1.2255,75.7906769713952
Madagascar,-20.4667,45.7167,75.4562966735535
Honduras,15.1333,-87.4667,74.4148227156961
Syrian Arab Republic,33.5146,36.3119,72.4405852977604
"Venezuela, RB",9.08165,-69.8371,70.2197325918151
Chad,12.1048,15.0445,70.1873962423852
Angola,-8.81155,13.242,70.0519587723571
Cuba,23.1333,-82.3667,69.5767786567811
Lesotho,-29.5208,27.7167,69.3513051423509
Jordan,31.9497,35.9263,67.545678186078
Niger,13.514,2.1073,65.735032215569
Lao PDR,18.5826,102.177,64.7588066942788
Sao Tome and Principe,0.20618,6.6071,63.4540500972405
Burundi,-3.3784,29.3639,63.1631365759764
Malawi,-13.9899,33.7703,61.0866071008045
Ethiopia,9.02274,38.7468,59.8748744402242
Afghanistan,34.5228,69.1761,55.5474967036959
"Somalia, Fed. Rep.",2.07515,45.3254,53.9579646939598
"Congo, Dem. Rep.",-4.325,15.3222,53.1888827659463
Kiribati,1.32905,172.979,51.2540556855052
"Yemen, Rep.",15.352,44.2075,50.8937810578557
Djibouti,11.5806,43.1425,48.4504884885996
Mozambique,-25.9664,32.5713,47.5003032540948
South Sudan,4.85,31.6,46.6152369503945
Papua New Guinea,-9.47357,147.194,34.0588961979896
