Loc,Lat,Lon,Population
India,28.6353,77.225,1450935791
China,40.0495,116.286,1408975000
United States,38.8895,-77.032,340003797
Indonesia,-6.19752,106.83,283487931
Pakistan,30.5167,72.8,251269164
Nigeria,9.05804,7.48906,232679478
Brazil,-15.7801,-47.9292,211998573
Bangladesh,23.7055,90.4113,173562364
Russian Federation,55.7558,37.6176,143669648
Ethiopia,9.02274,38.7468,132059767
Mexico,19.427,-99.1276,130861007
Japan,35.67,139.77,123975371
"Egypt, Arab Rep.",30.0982,31.2461,116538258
Philippines,14.5515,121.035,115843670
"Congo, Dem. Rep.",-4.325,15.3222,109276265
Viet Nam,21.0069,105.825,100987686
"Iran, Islamic Rep.",35.6878,51.4447,91567738
Turkiye,39.7153,32.3606,85518661
Germany,52.5235,13.4115,83516593
Thailand,13.7308,100.521,71668011
United Kingdom,51.5002,-0.126236,69281000
Tanzania,-6.17486,35.7382,68560157
France,48.8566,2.35097,68551653
South Africa,-25.746,28.1871,64007187
Italy,41.8955,12.4823,58952704
Kenya,-1.27975,36.8126,56432944
Myanmar,21.914,95.9562,54500091
Colombia,4.60987,-74.082,52886363
"Korea, Rep.",37.5323,126.957,51751065
Sudan,15.5932,32.5363,50448963
Uganda,0.314269,32.5729,50015092
Spain,40.4167,-3.70327,48848840
Algeria,36.7397,3.05097,46814308
Iraq,33.3302,44.394,46042015
Argentina,-34.6118,-58.4173,45696159
Afghanistan,34.5228,69.1761,42647492
Canada,45.4215,-75.6919,41262329
"Yemen, Rep.",15.352,44.2075,40583164
Morocco,33.9905,-6.8704,38081173
Angola,-8.81155,13.242,37885849
Ukraine,50.4536,30.5038,37860221
Poland,52.26,21.02,36559233
Uzbekistan,41.3052,69.269,36361859
Malaysia,3.12433,101.684,35557673
Saudi Arabia,24.6748,46.6977,35300280
Mozambique,-25.9664,32.5713,34631766
Ghana,5.57045,-0.20795,34427414
Peru,-12.0931,-77.0465,34217848
Madagascar,-20.4667,45.7167,31964956
Cote d'Ivoire,5.332,-4.0305,31934230
Nepal,27.6939,85.3157,29651054
Cameroon,3.8721,11.5174,29123744
"Venezuela, RB",9.08165,-69.8371,28405543
Australia,-35.282,149.129,27194286
Niger,13.514,2.1073,27032412
"Korea, Dem. People's Rep.",39.0319,125.754,26498823
Syrian Arab Republic,33.5146,36.3119,24672760
Mali,13.5667,-7.50034,24478595
Burkina Faso,12.3605,-1.53395,23548781
Sri Lanka,6.92148,79.8528,21916000
Malawi,-13.9899,33.7703,21655286
Zambia,-15.3982,28.2937,21314956
Kazakhstan,51.1879,71.4382,20592571
Chad,12.1048,15.0445,20299123
Chile,-33.475,-70.6475,19764771
Romania,44.4479,26.0979,19051804
"Somalia, Fed. Rep.",2.07515,45.3254,19009151
Senegal,14.7247,-17.4734,18501984
Guatemala,14.6248,-90.5328,18406359
Ecuador,-0.229498,-78.5243,18135478
Netherlands,52.3738,4.89095,17993485
Cambodia,11.5556,104.874,17638801
Zimbabwe,-17.8312,31.0672,16634373
Guinea,9.51667,-13.7,14754785
Benin,6.4779,2.6323,14462724
Rwanda,-1.95325,30.0587,14256567
Burundi,-3.3784,29.3639,14047786
Bolivia,-13.9908,-66.1936,12413315
Tunisia,36.7899,10.21,12277109
South Sudan,4.85,31.6,11943408
Belgium,50.8371,4.36761,11858610
Haiti,18.5392,-72.3288,11772557
Jordan,31.9497,35.9263,11552876
Dominican Republic,18.479,-69.8908,11427557
United Arab Emirates,24.4764,54.3705,10986400
Cuba,23.1333,-82.3667,10979783
Czechia,50.0878,14.4205,10905028
Honduras,15.1333,-87.4667,10825703
Portugal,38.7072,-9.13552,10694681
Tajikistan,38.5878,68.7864,10590927
Papua New Guinea,-9.47357,147.194,10576502
Sweden,59.3327,18.0645,10569709
Greece,37.9792,23.7166,10405134
Azerbaijan,40.3834,49.8932,10202830
Israel,31.7717,35.2035,10002200
Hungary,47.4984,19.0408,9562065
Austria,48.2201,16.3798,9177982
Belarus,53.9678,27.5766,9132629
Switzerland,46.948,7.44821,9005582
Sierra Leone,8.4821,-13.2134,8642022
Togo,6.1228,1.2255,8406558
Lao PDR,18.5826,102.177,7769819
"Hong Kong SAR, China",22.3964,114.109,7524100
Turkmenistan,37.9509,58.3794,7494498
Libya,32.8578,13.1072,7381023
Kyrgyz Republic,42.8851,74.6057,7221868
Paraguay,-25.3005,-57.6362,6929153
Nicaragua,12.1475,-86.2734,6916140
Serbia,44.8024,20.4656,6586476
Bulgaria,42.7105,23.3238,6441421
El Salvador,13.7034,-89.2073,6338193
"Congo, Rep.",-4.2767,15.2662,6332961
Singapore,1.28941,103.85,6036860
Denmark,55.6763,12.5681,5976992
Lebanon,33.8872,35.5134,5805962
Finland,60.1608,24.9525,5619911
Liberia,6.30039,-10.7957,5612817
Norway,59.9138,10.7387,5572279
Slovak Republic,48.1484,17.1073,5422069
Ireland,53.3441,-6.26749,5395790
Central African Republic,5.63056,21.6407,5330690
New Zealand,-41.2865,174.776,5290000
West Bank and Gaza,31.9038,35.2034,5289152
Oman,23.6105,58.5874,5281538
Mauritania,18.2367,-15.9824,5169395
Costa Rica,9.63701,-84.0089,5129910
Kuwait,29.3721,47.9824,4897263
Panama,8.99427,-79.5188,4515577
Croatia,45.8069,15.9614,3866200
Georgia,41.71,44.793,3812518
Eritrea,15.3315,38.9183,3535603
Mongolia,47.9129,106.937,3524788
Uruguay,-34.8941,-56.0675,3386588
Puerto Rico (US),18.23,-66.0,3202521
Bosnia and Herzegovina,43.8607,18.4214,3164253
Armenia,40.1596,44.509,3033500
Namibia,-22.5648,17.0931,3030131
Lithuania,54.6896,25.2799,2888278
Qatar,25.2948,51.5082,2857822
Jamaica,17.9927,-76.792,2839175
"Gambia, The",13.4495,-16.5885,2759988
Gabon,0.38832,9.45162,2538952
Botswana,-24.6544,25.9201,2521139
Moldova,47.0167,28.8497,2402306
Albania,41.3317,19.8172,2377128
Lesotho,-29.5208,27.7167,2337423
Guinea-Bissau,11.8037,-15.1804,2201352
Slovenia,46.0546,14.5044,2127400
Equatorial Guinea,3.7523,8.7741,1892516
Latvia,56.9465,24.1048,1866124
North Macedonia,42.0024,21.4361,1824359
Kosovo,42.565,20.926,1594353
Bahrain,26.1921,50.5354,1588670
Timor-Leste,-8.56667,125.567,1400638
Estonia,59.4392,24.7586,1372341
Trinidad and Tobago,10.6596,-61.4789,1368333
Cyprus,35.1676,33.3736,1358282
Mauritius,-20.1605,57.4977,1245779
Eswatini,-26.5225,31.4659,1242822
Djibouti,11.5806,43.1425,1168722
Fiji,-18.1149,178.399,928784
Comoros,-11.6986,43.2418,866628
Guyana,6.80461,-58.1548,831087
Solomon Islands,-9.42676,159.949,819198
Bhutan,27.5768,89.6177,791524
"Macao SAR, China",22.1667,113.55,687000
Luxembourg,49.61,6.1296,677012
Suriname,5.8232,-55.1679,634431
Montenegro,42.4602,19.2595,623525
Malta,35.9042,14.5189,568847
Maldives,4.1742,73.5109,527799
Cabo Verde,14.9218,-23.5087,524877
Brunei Darussalam,4.94199,114.946,462721
Belize,17.2534,-88.7713,417072
"Bahamas, The",25.0661,-77.339,401283
Iceland,64.1353,-21.8952,386506
Vanuatu,-17.7404,168.321,327777
New Caledonia,-22.2677,166.464,292639
Barbados,13.0935,-59.6105,282467
French Polynesia,-17.535,-149.57,281807
