Loc,Lat,Lon,Population density
"Macao SAR, China",22.1667,113.55,20569.696969696968
Monaco,43.7325,7.41891,18692.898272552782
Singapore,1.28941,103.85,8241.849582172701
"Hong Kong SAR, China",22.3964,114.109,7177.238095238095
Gibraltar,36.1408,-5.3536,3847.1
Bahrain,26.1921,50.5354,1971.32375
Maldives,4.1742,73.5109,1765.0805369127518
Malta,35.9042,14.5189,1727.334375
Bangladesh,23.7055,90.4113,1319.1797968918295
Sint Maarten (Dutch part),18.0237,-63.0458,1257.3235294117646
Bermuda,32.3293,-64.706,1198.111111111111
West Bank and Gaza,31.9038,35.2034,857.3900414937759
Barbados,13.0935,-59.6105,656.5953488372093
Mauritius,-20.1605,57.4977,625.2613920881322
Aruba,12.5167,-70.0167,596.4388888888889
Nauru,-0.5477,166.920867,593.75
Rwanda,-1.95325,30.0587,565.645358735306
Lebanon,33.8872,35.5134,564.3688172043011
San Marino,43.9322,12.4486,564.3333333333334
St. Martin (French part),18.0708,-63.0847,550.3
Burundi,-3.3784,29.3639,533.0782710280374
Netherlands,52.3738,4.89095,530.9509058509059
"Korea, Rep.",37.5323,126.957,529.8424077868852
India,28.6353,77.225,483.6790100868091
Comoros,-11.6986,43.2418,456.95163890381514
Israel,31.7717,35.2035,455.1293900184843
Haiti,18.5392,-72.3288,422.25682148040636
Belgium,50.8371,4.36761,386.30373188168164
Philippines,14.5515,121.035,385.32112217862294
Puerto Rico (US),18.23,-66.0,361.19436302142054
Sri Lanka,6.92148,79.8528,356.2398965405755
Curacao,12.108,-68.9335,348.3198198198198
Grenada,12.0653,-61.7449,344.3558823529412
Japan,35.67,139.77,341.54455749931964
Tuvalu,-8.6314877,179.089567,327.2
Pakistan,30.5167,72.8,321.067474833956
Viet Nam,21.0069,105.825,320.17519757265603
Guam,13.4443,144.794,308.34444444444443
El Salvador,13.7034,-89.2073,304.51853281853283
Cayman Islands,19.3022,-81.3857,304.325
Virgin Islands (U.S.),18.3358,-64.8963,299.7628571428571
St. Lucia,14.0,-60.9832,293.90983606557376
United Kingdom,51.5002,-0.126236,283.2472202703261
Kuwait,29.3721,47.9824,272.358024691358
"Gambia, The",13.4495,-16.5885,266.5854743083004
Trinidad and Tobago,10.6596,-61.4789,266.5711500974659
Jamaica,17.9927,-76.792,262.2147737765466
Seychelles,-4.6309,55.4466,260.37608695652176
British Virgin Islands,18.431389,-64.623056,259.9
St. Vincent and the Grenadines,13.2035,-61.2653,259.8025641025641
Luxembourg,49.61,6.1296,258.86205262462806
Nigeria,9.05804,7.48906,250.20910328623035
Liechtenstein,47.1411,9.52148,249.0375
Uganda,0.314269,32.5729,242.65210951526032
Sao Tome and Principe,0.20618,6.6071,240.490625
Germany,52.5235,13.4115,238.35181009071917
American Samoa,-14.2846,-170.691,237.605
Dominican Republic,18.479,-69.8908,235.09814303575126
Qatar,25.2948,51.5082,231.16031331592689
Switzerland,46.948,7.44821,224.978619136651
Malawi,-13.9899,33.7703,223.8489817564701
"Korea, Dem. People's Rep.",39.0319,125.754,219.402076239515
Marshall Islands,7.11046,171.135,215.70555555555555
Antigua and Barbuda,17.1175,-61.8456,212.0818181818182
Nepal,27.6939,85.3157,207.14763864666898
Italy,41.8955,12.4823,199.45967807385364
St. Kitts and Nevis,17.3,-62.7309,179.83846153846153
Andorra,42.5075,1.5218,172.03404255319148
Guatemala,14.6248,-90.5328,169.13809257185517
Kiribati,1.32905,172.979,163.6172839506173
"Micronesia, Fed. Sts.",6.91771,158.185,160.9
Togo,6.1228,1.2255,151.20150763007905
China,40.0495,116.286,150.2640013378482
Denmark,55.6763,12.5681,148.6738
Indonesia,-6.19752,106.83,148.57692229226973
Ghana,5.57045,-0.20795,148.49676310689
Isle of Man,54.1509,-4.47928,147.6578947368421
United Arab Emirates,24.4764,54.3705,147.61688256829063
Cyprus,35.1676,33.3736,145.56017316017315
Tonga,-21.136,-175.216,145.2736111111111
Czechia,50.0878,14.4205,140.7855476626048
Thailand,13.7308,100.521,140.3480886296463
Cabo Verde,14.9218,-23.5087,129.6106699751861
Jordan,31.9497,35.9263,128.82867085613893
Syrian Arab Republic,33.5146,36.3119,128.49002341665306
France,48.8566,2.35097,126.86202059560256
Benin,6.4779,2.6323,125.14219581411848
Azerbaijan,40.3834,49.8932,122.85490623109497
Poland,52.26,21.02,119.78761550266105
Sierra Leone,8.4821,-13.2134,117.21407592130784
Portugal,38.7072,-9.13552,115.47518928973774
"Egypt, Arab Rep.",30.0982,31.2461,115.05929177758803
Ethiopia,9.02274,38.7468,114.03795201200036
Slovak Republic,48.1484,17.1073,112.8689683860233
Turkiye,39.7153,32.3606,110.86621493444902
Austria,48.2201,16.3798,110.66118516723219
Malaysia,3.12433,101.684,106.91309694110485
Cuba,23.1333,-82.3667,106.16503853564548
Slovenia,46.0546,14.5044,105.31480791675979
