Loc,Lat,Lon,Poverty headcount
Central African Republic,5.63056,21.6407,71.6
Madagascar,-20.4667,45.7167,69.2
Niger,13.514,2.1073,60.5
Kenya,-1.27975,36.8126,46.4
Burkina Faso,12.3605,-1.53395,42.1
Guinea-Bissau,11.8037,-15.1804,39.9
Ethiopia,9.02274,38.7468,38.6
Mali,13.5667,-7.50034,36.1
Togo,6.1228,1.2255,34.7
Benin,6.4779,2.6323,27.2
Cameroon,3.8721,11.5174,26.7
Kosovo,42.565,20.926,25.0
Cote d'Ivoire,5.332,-4.0305,20.8
Senegal,14.7247,-17.4734,17.9
Colombia,4.60987,-74.082,11.2
Georgia,41.71,44.793,10.8
Tajikistan,38.5878,68.7864,9.1
Indonesia,-6.19752,106.83,8.6
Philippines,14.5515,121.035,8.1
Brazil,-15.7801,-47.9292,7.5
Kyrgyz Republic,42.8851,74.6057,5.6
Ecuador,-0.229498,-78.5243,5.3
Peru,-12.0931,-77.0465,5.2
El Salvador,13.7034,-89.2073,5.1
Uzbekistan,41.3052,69.269,4.4
"Iran, Islamic Rep.",35.6878,51.4447,3.7
Panama,8.99427,-79.5188,3.3
Bolivia,-13.9908,-66.1936,3.1
Montenegro,42.4602,19.2595,2.5
Costa Rica,9.63701,-84.0089,2.2
Armenia,40.1596,44.509,2.1
Romania,44.4479,26.0979,2.0
Paraguay,-25.3005,-57.6362,1.9
Serbia,44.8024,20.4656,1.7
Argentina,-34.6118,-58.4173,1.4
Jamaica,17.9927,-76.792,1.4
"Egypt, Arab Rep.",30.0982,31.2461,1.4
Dominican Republic,18.479,-69.8908,1.3
Bulgaria,42.7105,23.3238,1.2
Turkiye,39.7153,32.3606,0.9
Italy,41.8955,12.4823,0.9
Spain,40.4167,-3.70327,0.7
Greece,37.9792,23.7166,0.7
Tunisia,36.7899,10.21,0.7
Sweden,59.3327,18.0645,0.6
Germany,52.5235,13.4115,0.6
Israel,31.7717,35.2035,0.6
Latvia,56.9465,24.1048,0.5
Austria,48.2201,16.3798,0.5
United Kingdom,51.5002,-0.126236,0.4
Tonga,-21.136,-175.216,0.4
Bosnia and Herzegovina,43.8607,18.4214,0.3
Portugal,38.7072,-9.13552,0.3
Slovak Republic,48.1484,17.1073,0.3
Croatia,45.8069,15.9614,0.3
United States,38.8895,-77.032,0.3
Lithuania,54.6896,25.2799,0.3
Estonia,59.4392,24.7586,0.3
Canada,45.4215,-75.6919,0.2
Norway,59.9138,10.7387,0.2
Denmark,55.6763,12.5681,0.2
Uruguay,-34.8941,-56.0675,0.2
Moldova,47.0167,28.8497,0.2
Russian Federation,55.7558,37.6176,0.2
France,48.8566,2.35097,0.1
Luxembourg,49.61,6.1296,0.1
Poland,52.26,21.02,0.1
Czechia,50.0878,14.4205,0.1
Ireland,53.3441,-6.26749,0.1
Netherlands,52.3738,4.89095,0.1
"Korea, Rep.",37.5323,126.957,0.1
Malta,35.9042,14.5189,0.1
Switzerland,46.948,7.44821,0.0
Cyprus,35.1676,33.3736,0.0
Slovenia,46.0546,14.5044,0.0
Kazakhstan,51.1879,71.4382,0.0
Thailand,13.7308,100.521,0.0
Belgium,50.8371,4.36761,0.0
Finland,60.1608,24.9525,0.0
Malaysia,3.12433,101.684,0.0
China,40.0495,116.286,0.0
