Loc,Lat,Lon,Renewable energy
"Congo, Dem. Rep.",-4.325,15.3222,96.3
"Somalia, Fed. Rep.",2.07515,45.3254,95.4
Liberia,6.30039,-10.7957,93.2
Gabon,0.38832,9.45162,91.3
Uganda,0.314269,32.5729,91.0
Central African Republic,5.63056,21.6407,90.9
Ethiopia,9.02274,38.7468,90.6
Guinea-Bissau,11.8037,-15.1804,87.4
Madagascar,-20.4667,45.7167,83.6
Burundi,-3.3784,29.3639,83.1
Zambia,-15.3982,28.2937,83.0
Iceland,64.1353,-21.8952,82.4
Zimbabwe,-17.8312,31.0672,82.4
Bhutan,27.5768,89.6177,81.8
Eritrea,15.3315,38.9183,80.7
Nigeria,9.05804,7.48906,80.3
Niger,13.514,2.1073,79.6
Rwanda,-1.95325,30.0587,79.4
Cameroon,3.8721,11.5174,79.2
Tanzania,-6.17486,35.7382,78.3
Mozambique,-25.9664,32.5713,76.9
Haiti,18.5392,-72.3288,76.7
Togo,6.1228,1.2255,75.1
Nepal,27.6939,85.3157,73.7
"Congo, Rep.",-4.2767,15.2662,71.4
Mali,13.5667,-7.50034,71.2
Burkina Faso,12.3605,-1.53395,71.2
Sierra Leone,8.4821,-13.2134,71.1
Malawi,-13.9899,33.7703,71.1
Chad,12.1048,15.0445,69.9
Kenya,-1.27975,36.8126,67.7
Guinea,9.51667,-13.7,66.8
Eswatini,-26.5225,31.4659,65.4
Myanmar,21.914,95.9562,62.9
Guatemala,14.6248,-90.5328,62.1
Norway,59.9138,10.7387,61.4
Sudan,15.5932,32.5363,61.0
Paraguay,-25.3005,-57.6362,58.8
Cote d'Ivoire,5.332,-4.0305,58.2
Sweden,59.3327,18.0645,57.9
Uruguay,-34.8941,-56.0675,57.8
Benin,6.4779,2.6323,54.5
Papua New Guinea,-9.47357,147.194,54.5
Liechtenstein,47.1411,9.52148,53.6
Angola,-8.81155,13.242,52.9
Cambodia,11.5556,104.874,52.4
Lao PDR,18.5826,102.177,51.5
Nicaragua,12.1475,-86.2734,50.4
Finland,60.1608,24.9525,50.2
Solomon Islands,-9.42676,159.949,49.1
Sri Lanka,6.92148,79.8528,48.8
"Gambia, The",13.4495,-16.5885,48.6
Brazil,-15.7801,-47.9292,46.5
Honduras,15.1333,-87.4667,45.9
Latvia,56.9465,24.1048,44.0
Kiribati,1.32905,172.979,42.2
Albania,41.3317,19.8172,41.9
Pakistan,30.5167,72.8,41.6
Comoros,-11.6986,43.2418,41.2
Sao Tome and Principe,0.20618,6.6071,40.8
Montenegro,42.4602,19.2595,39.6
Denmark,55.6763,12.5681,39.5
Ghana,5.57045,-0.20795,39.0
Estonia,59.4392,24.7586,38.0
Bosnia and Herzegovina,43.8607,18.4214,36.6
Austria,48.2201,16.3798,36.0
Samoa,-13.8314,-171.752,36.0
Senegal,14.7247,-17.4734,35.4
Tajikistan,38.5878,68.7864,34.9
India,28.6353,77.225,34.9
Costa Rica,9.63701,-84.0089,34.2
Croatia,45.8069,15.9614,34.1
"Venezuela, RB",9.08165,-69.8371,33.7
Lesotho,-29.5208,27.7167,33.6
Lithuania,54.6896,25.2799,33.2
South Sudan,4.85,31.6,32.4
Portugal,38.7072,-9.13552,32.3
Peru,-12.0931,-77.0465,30.6
Namibia,-22.5648,17.0931,30.0
Fiji,-18.1149,178.399,29.7
Colombia,4.60987,-74.082,29.7
New Zealand,-41.2865,174.776,28.9
Philippines,14.5515,121.035,28.0
Panama,8.99427,-79.5188,28.0
Switzerland,46.948,7.44821,27.7
Kyrgyz Republic,42.8851,74.6057,27.6
Botswana,-24.6544,25.9201,27.4
Serbia,44.8024,20.4656,27.2
Belize,17.2534,-88.7713,26.6
Djibouti,11.5806,43.1425,26.6
Georgia,41.71,44.793,25.2
Bangladesh,23.7055,90.4113,25.0
Vanuatu,-17.7404,168.321,24.6
Viet Nam,21.0069,105.825,24.2
Chile,-33.475,-70.6475,24.2
Canada,45.4215,-75.6919,23.8
Romania,44.4479,26.0979,23.6
Slovenia,46.0546,14.5044,23.4
Cabo Verde,14.9218,-23.5087,22.6
Mauritania,18.2367,-15.9824,22.1
El Salvador,13.7034,-89.2073,21.9
Greece,37.9792,23.7166,21.5
Moldova,47.0167,28.8497,21.4
Cuba,23.1333,-82.3667,20.9
Luxembourg,49.61,6.1296,20.5
Bulgaria,42.7105,23.3238,20.4
Indonesia,-6.19752,106.83,20.2
Afghanistan,34.5228,69.1761,20.0
North Macedonia,42.0024,21.4361,19.5
Spain,40.4167,-3.70327,19.0
Thailand,13.7308,100.521,19.0
Ecuador,-0.229498,-78.5243,18.9
Andorra,42.5075,1.5218,18.4
Slovak Republic,48.1484,17.1073,17.9
Germany,52.5235,13.4115,17.6
Italy,41.8955,12.4823,17.5
Czechia,50.0878,14.4205,17.2
France,48.8566,2.35097,16.2
Cyprus,35.1676,33.3736,15.6
West Bank and Gaza,31.9038,35.2034,15.4
Hungary,47.4984,19.0408,15.3
Poland,52.26,21.02,15.2
China,40.0495,116.286,15.2
Dominican Republic,18.479,-69.8908,14.8
"Korea, Dem. People's Rep.",39.0319,125.754,14.7
Suriname,5.8232,-55.1679,14.5
"Macao SAR, China",22.1667,113.55,13.6
Guyana,6.80461,-58.1548,13.2
Mexico,19.427,-99.1276,13.0
Bolivia,-13.9908,-66.1936,12.8
Ireland,53.3441,-6.26749,12.7
Australia,-35.282,149.129,12.3
Netherlands,52.3738,4.89095,12.2
United Kingdom,51.5002,-0.126236,12.2
Timor-Leste,-8.56667,125.567,12.1
Marshall Islands,7.11046,171.135,12.1
Turkiye,39.7153,32.3606,12.0
Belgium,50.8371,4.36761,11.7
Greenland,64.1836,-51.7214,11.6
Tunisia,36.7899,10.21,11.6
Jordan,31.9497,35.9263,11.5
United States,38.8895,-77.032,10.9
Morocco,33.9905,-6.8704,10.9
Jamaica,17.9927,-76.792,10.5
Grenada,12.0653,-61.7449,10.2
South Africa,-25.746,28.1871,9.7
St. Lucia,14.0,-60.9832,9.7
Argentina,-34.6118,-58.4173,9.2
Armenia,40.1596,44.509,9.1
Ukraine,50.4536,30.5038,8.9
Aruba,12.5167,-70.0167,8.8
Dominica,15.2976,-61.39,8.8
Japan,35.67,139.77,8.8
Mauritius,-20.1605,57.4977,8.6
Malta,35.9042,14.5189,8.6
New Caledonia,-22.2677,166.464,8.3
Belarus,53.9678,27.5766,8.2
Malaysia,3.12433,101.684,7.5
French Polynesia,-17.535,-149.57,7.4
Lebanon,33.8872,35.5134,6.8
Israel,31.7717,35.2035,6.2
"Egypt, Arab Rep.",30.0982,31.2461,6.1
Virgin Islands (U.S.),18.3358,-64.8963,5.9
Barbados,13.0935,-59.6105,5.5
Equatorial Guinea,3.7523,8.7741,5.2
Faroe Islands,61.8926,-6.91181,5.1
St. Vincent and the Grenadines,13.2035,-61.2653,5.0
Tuvalu,-8.6314877,179.089567,5.0
Guam,13.4443,144.794,4.5
"Yemen, Rep.",15.352,44.2075,3.7
"Korea, Rep.",37.5323,126.957,3.6
Russian Federation,55.7558,37.6176,3.5
Isle of Man,54.1509,-4.47928,3.2
Libya,32.8578,13.1072,3.1
Mongolia,47.9129,106.937,3.0
Curacao,12.108,-68.9335,2.8
Puerto Rico (US),18.23,-66.0,2.6
"Micronesia, Fed. Sts.",6.91771,158.185,2.1
Kazakhstan,51.1879,71.4382,2.0
Tonga,-21.136,-175.216,1.8
Seychelles,-4.6309,55.4466,1.7
Nauru,-0.5477,166.920867,1.6
St. Kitts and Nevis,17.3,-62.7309,1.6
Maldives,4.1742,73.5109,1.4
British Virgin Islands,18.431389,-64.623056,1.3
Azerbaijan,40.3834,49.8932,1.3
"Bahamas, The",25.0661,-77.339,1.1
Iraq,33.3302,44.394,1.1
Singapore,1.28941,103.85,1.1
Syrian Arab Republic,33.5146,36.3119,1.1
United Arab Emirates,24.4764,54.3705,1.0
Uzbekistan,41.3052,69.269,1.0
Bermuda,32.3293,-64.706,0.9
Palau,7.34194,134.479,0.9
Antigua and Barbuda,17.1175,-61.8456,0.9
"Iran, Islamic Rep.",35.6878,51.4447,0.9
Turks and Caicos Islands,21.4602778,-71.141389,0.8
Trinidad and Tobago,10.6596,-61.4789,0.5
Northern Mariana Islands,15.1935,145.765,0.5
American Samoa,-14.2846,-170.691,0.4
"Hong Kong SAR, China",22.3964,114.109,0.4
Kuwait,29.3721,47.9824,0.1
Oman,23.6105,58.5874,0.1
Turkmenistan,37.9509,58.3794,0.1
Saudi Arabia,24.6748,46.6977,0.1
Algeria,36.7397,3.05097,0.1
Brunei Darussalam,4.94199,114.946,0.0
Cayman Islands,19.3022,-81.3857,0.0
Qatar,25.2948,51.5082,0.0
Sint Maarten (Dutch part),18.0237,-63.0458,0.0
Gibraltar,36.1408,-5.3536,0.0
Bahrain,26.1921,50.5354,0.0
