Loc,Lat,Lon,Rural population
India,28.6353,77.225,937610709
China,40.0495,116.286,480535177
Pakistan,30.5167,72.8,152838397
Indonesia,-6.19752,106.83,116936040
Bangladesh,23.7055,90.4113,116845100
Ethiopia,9.02274,38.7468,100864234
Nigeria,9.05804,7.48906,86148256
United States,38.8895,-77.032,67576503
"Egypt, Arab Rep.",30.0982,31.2461,66659375
Viet Nam,21.0069,105.825,62117455
"Congo, Dem. Rep.",-4.325,15.3222,60379966
Philippines,14.5515,121.035,51605924
Tanzania,-6.17486,35.7382,43763014
Kenya,-1.27975,36.8126,38434343
Myanmar,21.914,95.9562,37904863
Russian Federation,55.7558,37.6176,35756626
Uganda,0.314269,32.5729,34371487
Sudan,15.5932,32.5363,32858771
Afghanistan,34.5228,69.1761,31686773
Thailand,13.7308,100.521,27327777
Mexico,19.427,-99.1276,26494276
Brazil,-15.7801,-47.9292,25660615
"Yemen, Rep.",15.352,44.2075,25645414
South Africa,-25.746,28.1871,23239858
Niger,13.514,2.1073,22153132
Mozambique,-25.9664,32.5713,22014294
Madagascar,-20.4667,45.7167,21597446
"Iran, Islamic Rep.",35.6878,51.4447,21042151
Italy,41.8955,12.4823,17918820
Malawi,-13.9899,33.7703,17915742
Uzbekistan,41.3052,69.269,17817795
Sri Lanka,6.92148,79.8528,17467118
Burkina Faso,12.3605,-1.53395,16876175
Mali,13.5667,-7.50034,16741508
Germany,52.5235,13.4115,15015329
Chad,12.1048,15.0445,14832259
Cote d'Ivoire,5.332,-4.0305,14698269
Poland,52.26,21.02,14634461
France,48.8566,2.35097,14532968
Ghana,5.57045,-0.20795,14333686
Morocco,33.9905,-6.8704,14166268
Iraq,33.3302,44.394,13865024
Cameroon,3.8721,11.5174,12988265
Zambia,-15.3982,28.2937,11622964
United Kingdom,51.5002,-0.126236,11609449
Algeria,36.7397,3.05097,11572829
Ukraine,50.4536,30.5038,11535417
Colombia,4.60987,-74.082,11359419
Angola,-8.81155,13.242,11117550
Burundi,-3.3784,29.3639,10559681
Cambodia,11.5556,104.874,10429346
Zimbabwe,-17.8312,31.0672,9998361
Rwanda,-1.95325,30.0587,9995996
Nepal,27.6939,85.3157,9852350
"Korea, Rep.",37.5323,126.957,9745630
Japan,35.67,139.77,9682263
Spain,40.4167,-3.70327,9615797
"Korea, Dem. People's Rep.",39.0319,125.754,9576946
South Sudan,4.85,31.6,9390287
Guinea,9.51667,-13.7,9137446
Romania,44.4479,26.0979,9112958
Turkiye,39.7153,32.3606,9112601
Papua New Guinea,-9.47357,147.194,8947067
"Somalia, Fed. Rep.",2.07515,45.3254,8626800
Senegal,14.7247,-17.4734,8282077
Malaysia,3.12433,101.684,8207767
Guatemala,14.6248,-90.5328,8107136
Tajikistan,38.5878,68.7864,7818349
Kazakhstan,51.1879,71.4382,7810241
Canada,45.4215,-75.6919,7138277
Syrian Arab Republic,33.5146,36.3119,6889588
Benin,6.4779,2.6323,6863208
Ecuador,-0.229498,-78.5243,6667020
Saudi Arabia,24.6748,46.6977,5487287
Haiti,18.5392,-72.3288,5293264
Peru,-12.0931,-77.0465,5067228
Togo,6.1228,1.2255,4723237
Sierra Leone,8.4821,-13.2134,4721769
Kyrgyz Republic,42.8851,74.6057,4714291
Lao PDR,18.5826,102.177,4696450
Honduras,15.1333,-87.4667,4461806
Azerbaijan,40.3834,49.8932,4226645
Portugal,38.7072,-9.13552,4135827
Turkmenistan,37.9509,58.3794,3965524
Tunisia,36.7899,10.21,3639115
Bolivia,-13.9908,-66.1936,3570548
Argentina,-34.6118,-58.4173,3530379
Australia,-35.282,149.129,3371508
Dominican Republic,18.479,-69.8908,3152613
"Venezuela, RB",9.08165,-69.8371,3043410
Central African Republic,5.63056,21.6407,2978557
Czechia,50.0878,14.4205,2966735
Hungary,47.4984,19.0408,2821591
Nicaragua,12.1475,-86.2734,2817439
Austria,48.2201,16.3798,2802422
Slovak Republic,48.1484,17.1073,2537964
Cuba,23.1333,-82.3667,2507070
Liberia,6.30039,-10.7957,2495526
Serbia,44.8024,20.4656,2477634
Eritrea,15.3315,38.9183,2314528
"Congo, Rep.",-4.2767,15.2662,2287047
Greece,37.9792,23.7166,2185413
Chile,-33.475,-70.6475,2175095
Paraguay,-25.3005,-57.6362,2088290
Mauritania,18.2367,-15.9824,2036387
Ireland,53.3441,-6.26749,1923759
Belarus,53.9678,27.5766,1903687
Bulgaria,42.7105,23.3238,1677994
Croatia,45.8069,15.9614,1642520
El Salvador,13.7034,-89.2073,1580271
United Arab Emirates,24.4764,54.3705,1558189
Panama,8.99427,-79.5188,1535484
Bosnia and Herzegovina,43.8607,18.4214,1514967
Namibia,-22.5648,17.0931,1502678
Georgia,41.71,44.793,1483872
Belgium,50.8371,4.36761,1468967
Finland,60.1608,24.9525,1446356
Moldova,47.0167,28.8497,1356907
Lesotho,-29.5208,27.7167,1316483
Switzerland,46.948,7.44821,1309273
Guinea-Bissau,11.8037,-15.1804,1186238
Sweden,59.3327,18.0645,1177891
Jamaica,17.9927,-76.792,1166045
Oman,23.6105,58.5874,1085671
Costa Rica,9.63701,-84.0089,1061339
Armenia,40.1596,44.509,1037112
Mongolia,47.9129,106.937,1023718
Timor-Leste,-8.56667,125.567,999158
Albania,41.3317,19.8172,985406
"Gambia, The",13.4495,-16.5885,985332
Slovenia,46.0546,14.5044,941209
Norway,59.9138,10.7387,928934
Eswatini,-26.5225,31.4659,916583
Lithuania,54.6896,25.2799,900317
Libya,32.8578,13.1072,894181
New Zealand,-41.2865,174.776,849729
Israel,31.7717,35.2035,846567
Botswana,-24.6544,25.9201,820319
Jordan,31.9497,35.9263,814462
Kosovo,42.565,20.926,792052
Netherlands,52.3738,4.89095,784579
Mauritius,-20.1605,57.4977,759723
North Macedonia,42.0024,21.4361,682957
West Bank and Gaza,31.9038,35.2034,681264
Denmark,55.6763,12.5681,675636
Trinidad and Tobago,10.6596,-61.4789,629966
Guyana,6.80461,-58.1548,611034
Latvia,56.9465,24.1048,588129
Comoros,-11.6986,43.2418,575968
Solomon Islands,-9.42676,159.949,568018
Equatorial Guinea,3.7523,8.7741,542066
Lebanon,33.8872,35.5134,539740
Bhutan,27.5768,89.6177,454616
Cyprus,35.1676,33.3736,452547
Estonia,59.4392,24.7586,402122
Fiji,-18.1149,178.399,380089
Djibouti,11.5806,43.1425,316662
Maldives,4.1742,73.5109,306133
Vanuatu,-17.7404,168.321,254726
Belize,17.2534,-88.7713,242931
Suriname,5.8232,-55.1679,217203
Montenegro,42.4602,19.2595,214853
Gabon,0.38832,9.45162,206589
Puerto Rico (US),18.23,-66.0,184018
Samoa,-13.8314,-171.752,179859
Uruguay,-34.8941,-56.0675,149071
St. Lucia,14.0,-60.9832,127443
Cabo Verde,14.9218,-23.5087,121918
Brunei Darussalam,4.94199,114.946,116151
Barbados,13.0935,-59.6105,114287
Channel Islands,49.4556,-2.5361,113139
French Polynesia,-17.535,-149.57,107878
New Caledonia,-22.2677,166.464,93786
"Micronesia, Fed. Sts.",6.91771,158.185,87748
Tonga,-21.136,-175.216,82141
"Bahamas, The",25.0661,-77.339,74940
Grenada,12.0653,-61.7449,74353
Sao Tome and Principe,0.20618,6.6071,73320
Antigua and Barbuda,17.1175,-61.8456,70900
Seychelles,-4.6309,55.4466,66393
St. Vincent and the Grenadines,13.2035,-61.2653,52473
Kiribati,1.32905,172.979,50495
Aruba,12.5167,-70.0167,41264
Isle of Man,54.1509,-4.47928,40259
Luxembourg,49.61,6.1296,34908
Liechtenstein,47.1411,9.52148,34521
Faroe Islands,61.8926,-6.91181,33105
St. Kitts and Nevis,17.3,-62.7309,31949
Malta,35.9042,14.5189,24719
Iceland,64.1353,-21.8952,22487
Qatar,25.2948,51.5082,19376
Dominica,15.2976,-61.39,17515
British Virgin Islands,18.431389,-64.623056,17167
Curacao,12.108,-68.9335,13363
Guam,13.4443,144.794,9777
Andorra,42.5075,1.5218,9107
American Samoa,-14.2846,-170.691,8911
Marshall Islands,7.11046,171.135,7985
Greenland,64.1836,-51.7214,6639
Virgin Islands (U.S.),18.3358,-64.8963,4873
Palau,7.34194,134.479,3679
Northern Mariana Islands,15.1935,145.765,3509
Tuvalu,-8.6314877,179.089567,3403
Turks and Caicos Islands,21.4602778,-71.141389,2714
San Marino,43.9322,12.4486,966
Bahrain,26.1921,50.5354,0
Nauru,-0.5477,166.920867,0
Bermuda,32.3293,-64.706,0
Cayman Islands,19.3022,-81.3857,0
Gibraltar,36.1408,-5.3536,0
"Hong Kong SAR, China",22.3964,114.109,0
Singapore,1.28941,103.85,0
Kuwait,29.3721,47.9824,0
"Macao SAR, China",22.1667,113.55,0
St. Martin (French part),18.0708,-63.0847,0
Monaco,43.7325,7.41891,0
Sint Maarten (Dutch part),18.0237,-63.0458,0
