Loc,Lat,Lon,School enrollment
Belgium,50.8371,4.36761,142.960266113281
Finland,60.1608,24.9525,142.861724853516
Netherlands,52.3738,4.89095,137.514724731445
St. Kitts and Nevis,17.3,-62.7309,137.513208876365
Vanuatu,-17.7404,168.321,134.670675170038
Sweden,59.3327,18.0645,134.244293212891
Australia,-35.282,149.129,134.099243164062
Denmark,55.6763,12.5681,126.98078918457
Costa Rica,9.63701,-84.0089,125.510070800781
St. Vincent and the Grenadines,13.2035,-61.2653,125.381038491346
Curacao,12.108,-68.9335,123.429739994157
Portugal,38.7072,-9.13552,120.347076416016
Uruguay,-34.8941,-56.0675,119.105005958635
Turkiye,39.7153,32.3606,118.411979675293
Spain,40.4167,-3.70327,118.361709594727
Norway,59.9138,10.7387,117.775093078613
New Zealand,-41.2865,174.776,113.395988464355
United Kingdom,51.5002,-0.126236,112.120048522949
Peru,-12.0931,-77.0465,111.395393371582
Puerto Rico (US),18.23,-66.0,110.409713745117
Turks and Caicos Islands,21.4602778,-71.141389,109.841759938248
Iceland,64.1353,-21.8952,108.911361694336
Antigua and Barbuda,17.1175,-61.8456,108.880778588808
Estonia,59.4392,24.7586,108.442070007324
Poland,52.26,21.02,108.386131286621
Luxembourg,49.61,6.1296,107.744010925293
Slovenia,46.0546,14.5044,107.626876831055
Chile,-33.475,-70.6475,105.83097076416
Argentina,-34.6118,-58.4173,105.574584297051
Lithuania,54.6896,25.2799,105.428817749023
Hungary,47.4984,19.0408,105.419059753418
Greece,37.9792,23.7166,105.191741943359
Cyprus,35.1676,33.3736,105.159156799316
Croatia,45.8069,15.9614,105.025161743164
Bahrain,26.1921,50.5354,104.392938701638
Canada,45.4215,-75.6919,104.320877075195
South Africa,-25.746,28.1871,104.133480684239
France,48.8566,2.35097,103.962417602539
Georgia,41.71,44.793,103.183588288651
Singapore,1.28941,103.85,103.082801906213
Malta,35.9042,14.5189,103.027229309082
Switzerland,46.948,7.44821,102.965591430664
Dominica,15.2976,-61.39,102.585807800293
Turkmenistan,37.9509,58.3794,102.546752929688
Barbados,13.0935,-59.6105,102.513702392578
Latvia,56.9465,24.1048,102.126243591309
Mexico,19.427,-99.1276,102.055458068848
United Arab Emirates,24.4764,54.3705,101.944972436447
Japan,35.67,139.77,101.537071228027
Algeria,36.7397,3.05097,101.264892578125
Italy,41.8955,12.4823,100.678756713867
Germany,52.5235,13.4115,100.603057861328
Austria,48.2201,16.3798,100.504371643066
Qatar,25.2948,51.5082,100.136596679688
Andorra,42.5075,1.5218,99.5086517333984
Israel,31.7717,35.2035,99.3012008666992
Fiji,-18.1149,178.399,98.540177642079
Moldova,47.0167,28.8497,97.8896863952854
Czechia,50.0878,14.4205,97.6154174804688
Belarus,53.9678,27.5766,97.4265999006565
Uzbekistan,41.3052,69.269,97.3839945834102
Palau,7.34194,134.479,97.286012526096
"Venezuela, RB",9.08165,-69.8371,97.229606628418
Mongolia,47.9129,106.937,96.8181201904352
"Korea, Rep.",37.5323,126.957,96.2983932495117
Albania,41.3317,19.8172,96.1368771236947
Indonesia,-6.19752,106.83,96.0002120295081
Bulgaria,42.7105,23.3238,95.6239624023438
Cuba,23.1333,-82.3667,95.5986574273359
Kazakhstan,51.1879,71.4382,95.2393054334066
Kiribati,1.32905,172.979,94.7441990494828
Montenegro,42.4602,19.2595,93.8724975585938
Thailand,13.7308,100.521,93.3356315272258
Tuvalu,-8.6314877,179.089567,93.2753164556962
Trinidad and Tobago,10.6596,-61.4789,92.9377899169922
Ecuador,-0.229498,-78.5243,92.8118025876465
Azerbaijan,40.3834,49.8932,92.7402972401367
Slovak Republic,48.1484,17.1073,92.6436767578125
"Macao SAR, China",22.1667,113.55,92.5810397553517
Russian Federation,55.7558,37.6176,92.4840470838527
Jordan,31.9497,35.9263,91.9696843781763
Tonga,-21.136,-175.216,91.8606656320055
Brunei Darussalam,4.94199,114.946,91.8381544399811
Philippines,14.5515,121.035,91.5493424610693
Bolivia,-13.9908,-66.1936,91.3676827044767
Kyrgyz Republic,42.8851,74.6057,91.2655243671618
Nauru,-0.5477,166.920867,90.1002502441406
North Macedonia,42.0024,21.4361,90.0724868774414
Nepal,27.6939,85.3157,89.8898815141438
Marshall Islands,7.11046,171.135,89.551989301237
Armenia,40.1596,44.509,89.4111027634947
West Bank and Gaza,31.9038,35.2034,89.1210984011759
St. Lucia,14.0,-60.9832,88.6818771362305
Tajikistan,38.5878,68.7864,88.4022015902249
Sri Lanka,6.92148,79.8528,87.9534065332114
Bosnia and Herzegovina,43.8607,18.4214,87.8663787841797
Morocco,33.9905,-6.8704,87.7346312462207
"Bahamas, The",25.0661,-77.339,87.1455240465819
Ukraine,50.4536,30.5038,87.0823822021484
Sierra Leone,8.4821,-13.2134,86.9079513549805
Bhutan,27.5768,89.6177,86.8564415582911
Cayman Islands,19.3022,-81.3857,86.0370923044127
Jamaica,17.9927,-76.792,85.4353132628153
"Iran, Islamic Rep.",35.6878,51.4447,85.1469802856445
Guyana,6.80461,-58.1548,84.4850463867188
"Egypt, Arab Rep.",30.0982,31.2461,84.474862198776
Kenya,-1.27975,36.8126,84.3083880306996
Belize,17.2534,-88.7713,83.619553808705
Romania,44.4479,26.0979,81.6316070556641
Namibia,-22.5648,17.0931,81.6173009252032
Paraguay,-25.3005,-57.6362,79.7518585422984
Malaysia,3.12433,101.684,79.4472788704033
Maldives,4.1742,73.5109,79.3565296847573
India,28.6353,77.225,78.8639591218839
Suriname,5.8232,-55.1679,76.1109237670898
Dominican Republic,18.479,-69.8908,75.4805556926418
Bermuda,32.3293,-64.706,74.3967514038086
Gibraltar,36.1408,-5.3536,74.349556167738
Seychelles,-4.6309,55.4466,74.2514404458298
British Virgin Islands,18.431389,-64.623056,70.4463994786575
Nicaragua,12.1475,-86.2734,70.1749572753906
Bangladesh,23.7055,90.4113,65.9856598598849
El Salvador,13.7034,-89.2073,65.5709865566541
Cote d'Ivoire,5.332,-4.0305,63.9607557764462
Togo,6.1228,1.2255,63.4192515229188
Lebanon,33.8872,35.5134,62.8279212477627
San Marino,43.9322,12.4486,60.7940446650124
Afghanistan,34.5228,69.1761,59.6136016845703
Cambodia,11.5556,104.874,56.7864734981041
"Congo, Dem. Rep.",-4.325,15.3222,55.4860992431641
Honduras,15.1333,-87.4667,54.5012702941895
Lao PDR,18.5826,102.177,54.4330611689851
Papua New Guinea,-9.47357,147.194,52.0929750873194
Angola,-8.81155,13.242,51.4839046246776
Guatemala,14.6248,-90.5328,47.3762534803949
Nigeria,9.05804,7.48906,46.8931503295898
Rwanda,-1.95325,30.0587,45.1251505756161
Cameroon,3.8721,11.5174,44.840795775403
