Loc,Lat,Lon,Tourism arrivals
France,48.8566,2.35097,217877000
United States,38.8895,-77.032,165478000
China,40.0495,116.286,162538000
Spain,40.4167,-3.70327,126170000
Mexico,19.427,-99.1276,97406000
Italy,41.8955,12.4823,95399000
Poland,52.26,21.02,88515000
Hungary,47.4984,19.0408,61397000
Croatia,45.8069,15.9614,60021000
"Hong Kong SAR, China",22.3964,114.109,55913000
Turkiye,39.7153,32.3606,51747000
United Kingdom,51.5002,-0.126236,40857000
Thailand,13.7308,100.521,39916000
Germany,52.5235,13.4115,39563000
"Macao SAR, China",22.1667,113.55,39406000
Czechia,50.0878,14.4205,37202000
Greece,37.9792,23.7166,34005000
Denmark,55.6763,12.5681,33093000
Canada,45.4215,-75.6919,32430000
Austria,48.2201,16.3798,31884000
Japan,35.67,139.77,31881000
Malaysia,3.12433,101.684,26101000
United Arab Emirates,24.4764,54.3705,25282000
Russian Federation,55.7558,37.6176,24419000
Saudi Arabia,24.6748,46.6977,20292000
Netherlands,52.3738,4.89095,20129000
Singapore,1.28941,103.85,19116000
Viet Nam,21.0069,105.825,18009000
India,28.6353,77.225,17914000
"Korea, Rep.",37.5323,126.957,17503000
Portugal,38.7072,-9.13552,17283000
Indonesia,-6.19752,106.83,16107000
South Africa,-25.746,28.1871,14797000
Ukraine,50.4536,30.5038,13710000
Morocco,33.9905,-6.8704,13109000
"Egypt, Arab Rep.",30.0982,31.2461,13026000
Romania,44.4479,26.0979,12815000
Bulgaria,42.7105,23.3238,12552000
Belarus,53.9678,27.5766,11832000
Switzerland,46.948,7.44821,11818000
Bahrain,26.1921,50.5354,11061000
Ireland,53.3441,-6.26749,10951000
Australia,-35.282,149.129,9466000
Tunisia,36.7899,10.21,9429000
Belgium,50.8371,4.36761,9343000
"Iran, Islamic Rep.",35.6878,51.4447,9107000
Kuwait,29.3721,47.9824,8565000
Kazakhstan,51.1879,71.4382,8515000
Kyrgyz Republic,42.8851,74.6057,8508000
Latvia,56.9465,24.1048,8342000
Philippines,14.5515,121.035,8261000
Andorra,42.5075,1.5218,8235000
Georgia,41.71,44.793,7726000
Sweden,59.3327,18.0645,7616000
Dominican Republic,18.479,-69.8908,7550000
Argentina,-34.6118,-58.4173,7399000
"Bahamas, The",25.0661,-77.339,7250000
Uzbekistan,41.3052,69.269,6749000
Cambodia,11.5556,104.874,6611000
Albania,41.3317,19.8172,6406000
Brazil,-15.7801,-47.9292,6353000
Lithuania,54.6896,25.2799,6150000
Estonia,59.4392,24.7586,6103000
Norway,59.9138,10.7387,5879000
Chile,-33.475,-70.6475,5431000
Jordan,31.9497,35.9263,5361000
Peru,-12.0931,-77.0465,5275000
Puerto Rico (US),18.23,-66.0,4931000
Israel,31.7717,35.2035,4905000
Lao PDR,18.5826,102.177,4791000
Slovenia,46.0546,14.5044,4702000
Colombia,4.60987,-74.082,4531000
Brunei Darussalam,4.94199,114.946,4449000
Paraguay,-25.3005,-57.6362,4368000
Myanmar,21.914,95.9562,4364000
Cuba,23.1333,-82.3667,4276000
Jamaica,17.9927,-76.792,4233000
Cyprus,35.1676,33.3736,4117000
New Zealand,-41.2865,174.776,3888000
Malta,35.9042,14.5189,3519000
Oman,23.6105,58.5874,3506000
Uruguay,-34.8941,-56.0675,3480000
Costa Rica,9.63701,-84.0089,3366000
Finland,60.1608,24.9525,3290000
Azerbaijan,40.3834,49.8932,3170000
El Salvador,13.7034,-89.2073,2639000
Guatemala,14.6248,-90.5328,2560000
Montenegro,42.4602,19.2595,2510000
Panama,8.99427,-79.5188,2494000
Syrian Arab Republic,33.5146,36.3119,2424000
Algeria,36.7397,3.05097,2371000
Cayman Islands,19.3022,-81.3857,2334000
Honduras,15.1333,-87.4667,2315000
Zimbabwe,-17.8312,31.0672,2294000
Iceland,64.1353,-21.8952,2202000
Qatar,25.2948,51.5082,2136500
Ecuador,-0.229498,-78.5243,2108000
Virgin Islands (U.S.),18.3358,-64.8963,2074000
Cote d'Ivoire,5.332,-4.0305,2070000
Kenya,-1.27975,36.8126,2049000
Mozambique,-25.9664,32.5713,2033000
Sri Lanka,6.92148,79.8528,2027000
Sint Maarten (Dutch part),18.0237,-63.0458,1952000
Aruba,12.5167,-70.0167,1951000
Lebanon,33.8872,35.5134,1936000
San Marino,43.9322,12.4486,1904000
Armenia,40.1596,44.509,1894000
Serbia,44.8024,20.4656,1847000
Maldives,4.1742,73.5109,1703000
Belize,17.2534,-88.7713,1674000
Guam,13.4443,144.794,1667000
Namibia,-22.5648,17.0931,1651000
Rwanda,-1.95325,30.0587,1634000
Turks and Caicos Islands,21.4602778,-71.141389,1599000
Uganda,0.314269,32.5729,1543000
Tanzania,-6.17486,35.7382,1527000
Nicaragua,12.1475,-86.2734,1455000
Mauritius,-20.1605,57.4977,1418000
Curacao,12.108,-68.9335,1293000
Zambia,-15.3982,28.2937,1266000
Bolivia,-13.9908,-66.1936,1239000
Eswatini,-26.5225,31.4659,1226000
St. Lucia,14.0,-60.9832,1220000
Bosnia and Herzegovina,43.8607,18.4214,1198000
Nepal,27.6939,85.3157,1197000
Lesotho,-29.5208,27.7167,1142000
St. Kitts and Nevis,17.3,-62.7309,1107000
Luxembourg,49.61,6.1296,1041000
Antigua and Barbuda,17.1175,-61.8456,1035000
Cameroon,3.8721,11.5174,1021000
Fiji,-18.1149,178.399,969000
Barbados,13.0935,-59.6105,966000
Haiti,18.5392,-72.3288,938000
Togo,6.1228,1.2255,876000
Ethiopia,9.02274,38.7468,812000
Bermuda,32.3293,-64.706,805000
North Macedonia,42.0024,21.4361,758000
Cabo Verde,14.9218,-23.5087,758000
West Bank and Gaza,31.9038,35.2034,688000
Mongolia,47.9129,106.937,637000
"Gambia, The",13.4495,-16.5885,620000
Grenada,12.0653,-61.7449,526000
Northern Mariana Islands,15.1935,145.765,487000
Madagascar,-20.4667,45.7167,486000
Trinidad and Tobago,10.6596,-61.4789,480000
Seychelles,-4.6309,55.4466,428000
St. Vincent and the Grenadines,13.2035,-61.2653,392000
Monaco,43.7325,7.41891,363000
Benin,6.4779,2.6323,337000
Bangladesh,23.7055,90.4113,323000
Dominica,15.2976,-61.39,322000
Bhutan,27.5768,89.6177,316000
Guyana,6.80461,-58.1548,315000
British Virgin Islands,18.431389,-64.623056,302400
French Polynesia,-17.535,-149.57,300000
Vanuatu,-17.7404,168.321,256000
Angola,-8.81155,13.242,218000
Mali,13.5667,-7.50034,217000
Papua New Guinea,-9.47357,147.194,211000
Niger,13.514,2.1073,192000
Samoa,-13.8314,-171.752,181000
Moldova,47.0167,28.8497,174000
Burkina Faso,12.3605,-1.53395,143000
New Caledonia,-22.2677,166.464,130000
Liechtenstein,47.1411,9.52148,98100
Palau,7.34194,134.479,94000
Tonga,-21.136,-175.216,94000
Central African Republic,5.63056,21.6407,87000
Chad,12.1048,15.0445,81000
Timor-Leste,-8.56667,125.567,74800
Sierra Leone,8.4821,-13.2134,71000
Guinea-Bissau,11.8037,-15.1804,52400
Comoros,-11.6986,43.2418,45100
Solomon Islands,-9.42676,159.949,28900
American Samoa,-14.2846,-170.691,19200
"Micronesia, Fed. Sts.",6.91771,158.185,18000
Kiribati,1.32905,172.979,12000
Marshall Islands,7.11046,171.135,6100
Tuvalu,-8.6314877,179.089567,3600
