Loc,Lat,Lon,Unemployment
Eswatini,-26.5225,31.4659,34.61
South Africa,-25.746,28.1871,32.098
Djibouti,11.5806,43.1425,26.074
Botswana,-24.6544,25.9201,23.381
Gabon,0.38832,9.45162,20.161
"Congo, Rep.",-4.2767,15.2662,19.919
Namibia,-22.5648,17.0931,19.154
"Somalia, Fed. Rep.",2.07515,45.3254,18.96
Libya,32.8578,13.1072,18.713
St. Vincent and the Grenadines,13.2035,-61.2653,18.348
"Yemen, Rep.",15.352,44.2075,16.944
Jordan,31.9497,35.9263,16.62
Lesotho,-29.5208,27.7167,16.348
Iraq,33.3302,44.394,15.239
Tunisia,36.7899,10.21,15.106
Haiti,18.5392,-72.3288,14.459
Angola,-8.81155,13.242,14.051
Afghanistan,34.5228,69.1761,14.008
Syrian Arab Republic,33.5146,36.3119,13.27
North Macedonia,42.0024,21.4361,13.174
Montenegro,42.4602,19.2595,13.146
Armenia,40.1596,44.509,12.405
South Sudan,4.85,31.6,12.374
Rwanda,-1.95325,30.0587,12.352
Spain,40.4167,-3.70327,12.179
St. Lucia,14.0,-60.9832,12.094
Guyana,6.80461,-58.1548,11.917
Cabo Verde,14.9218,-23.5087,11.882
Algeria,36.7397,3.05097,11.645
French Polynesia,-17.535,-149.57,11.613
Georgia,41.71,44.793,11.549
Virgin Islands (U.S.),18.3358,-64.8963,11.358
Greece,37.9792,23.7166,11.023
Lebanon,33.8872,35.5134,10.985
New Caledonia,-22.2677,166.464,10.922
Albania,41.3317,19.8172,10.669
Bosnia and Herzegovina,43.8607,18.4214,10.668
Nepal,27.6939,85.3157,10.437
Mauritania,18.2367,-15.9824,10.37
Colombia,4.60987,-74.082,9.591
Turkiye,39.7153,32.3606,9.388
Zimbabwe,-17.8312,31.0672,9.348
Sao Tome and Principe,0.20618,6.6071,9.032
Chile,-33.475,-70.6475,9.013
Morocco,33.9905,-6.8704,8.896
"Bahamas, The",25.0661,-77.339,8.645
Uruguay,-34.8941,-56.0675,8.355
Costa Rica,9.63701,-84.0089,8.325
Belize,17.2534,-88.7713,8.278
Serbia,44.8024,20.4656,8.268
Equatorial Guinea,3.7523,8.7741,8.218
"Iran, Islamic Rep.",35.6878,51.4447,8.129
Brazil,-15.7801,-47.9292,7.947
Suriname,5.8232,-55.1679,7.699
Italy,41.8955,12.4823,7.627
Sweden,59.3327,18.0645,7.611
France,48.8566,2.35097,7.335
Finland,60.1608,24.9525,7.149
Tajikistan,38.5878,68.7864,7.037
