Loc,Lat,Lon,Urban population
China,40.0495,116.286,928439823
India,28.6353,77.225,513325082
United States,38.8895,-77.032,272427294
Brazil,-15.7801,-47.9292,186337958
Indonesia,-6.19752,106.83,166551891
Nigeria,9.05804,7.48906,146531222
Japan,35.67,139.77,114293108
Russian Federation,55.7558,37.6176,107913022
Mexico,19.427,-99.1276,104366731
Pakistan,30.5167,72.8,98430767
Turkiye,39.7153,32.3606,76406060
"Iran, Islamic Rep.",35.6878,51.4447,70525587
Germany,52.5235,13.4115,68501264
Philippines,14.5515,121.035,64237746
United Kingdom,51.5002,-0.126236,57671551
Bangladesh,23.7055,90.4113,56717264
France,48.8566,2.35097,54018685
"Egypt, Arab Rep.",30.0982,31.2461,49878883
"Congo, Dem. Rep.",-4.325,15.3222,48896299
Thailand,13.7308,100.521,44340234
Argentina,-34.6118,-58.4173,42165780
"Korea, Rep.",37.5323,126.957,42005435
Colombia,4.60987,-74.082,41526944
Italy,41.8955,12.4823,41033884
South Africa,-25.746,28.1871,40767329
Spain,40.4167,-3.70327,39233043
Viet Nam,21.0069,105.825,38870231
Algeria,36.7397,3.05097,35241479
Canada,45.4215,-75.6919,34124052
Iraq,33.3302,44.394,32176991
Ethiopia,9.02274,38.7468,31195533
Saudi Arabia,24.6748,46.6977,29812993
Peru,-12.0931,-77.0465,29150620
Malaysia,3.12433,101.684,27349906
Angola,-8.81155,13.242,26768299
Ukraine,50.4536,30.5038,26324804
"Venezuela, RB",9.08165,-69.8371,25362133
Tanzania,-6.17486,35.7382,24797143
Morocco,33.9905,-6.8704,23914905
Australia,-35.282,149.129,23822778
Poland,52.26,21.02,21924772
Ghana,5.57045,-0.20795,20093728
Nepal,27.6939,85.3157,19798704
Uzbekistan,41.3052,69.269,18544064
Kenya,-1.27975,36.8126,17998601
Syrian Arab Republic,33.5146,36.3119,17783172
Sudan,15.5932,32.5363,17590192
Chile,-33.475,-70.6475,17589676
Cote d'Ivoire,5.332,-4.0305,17235961
Netherlands,52.3738,4.89095,17208906
"Korea, Dem. People's Rep.",39.0319,125.754,16921877
Myanmar,21.914,95.9562,16595228
Cameroon,3.8721,11.5174,16135479
Uganda,0.314269,32.5729,15643605
"Yemen, Rep.",15.352,44.2075,14937750
Kazakhstan,51.1879,71.4382,12782330
Mozambique,-25.9664,32.5713,12617472
Ecuador,-0.229498,-78.5243,11468458
Afghanistan,34.5228,69.1761,10960719
Jordan,31.9497,35.9263,10738414
Belgium,50.8371,4.36761,10389643
"Somalia, Fed. Rep.",2.07515,45.3254,10382351
Madagascar,-20.4667,45.7167,10367510
Guatemala,14.6248,-90.5328,10299223
Senegal,14.7247,-17.4734,10219907
Romania,44.4479,26.0979,9938846
Zambia,-15.3982,28.2937,9691992
United Arab Emirates,24.4764,54.3705,9428211
Sweden,59.3327,18.0645,9391818
Israel,31.7717,35.2035,9155633
Bolivia,-13.9908,-66.1936,8842767
Tunisia,36.7899,10.21,8637994
Cuba,23.1333,-82.3667,8472713
Dominican Republic,18.479,-69.8908,8274944
Greece,37.9792,23.7166,8219721
Czechia,50.0878,14.4205,7938293
Mali,13.5667,-7.50034,7737087
Switzerland,46.948,7.44821,7696309
Benin,6.4779,2.6323,7599516
"Hong Kong SAR, China",22.3964,114.109,7524100
Belarus,53.9678,27.5766,7228942
Cambodia,11.5556,104.874,7209455
Hungary,47.4984,19.0408,6740474
Burkina Faso,12.3605,-1.53395,6672606
Zimbabwe,-17.8312,31.0672,6636012
Portugal,38.7072,-9.13552,6558854
Libya,32.8578,13.1072,6486842
Haiti,18.5392,-72.3288,6479293
Austria,48.2201,16.3798,6375560
Honduras,15.1333,-87.4667,6363897
Singapore,1.28941,103.85,6036860
Azerbaijan,40.3834,49.8932,5976185
Guinea,9.51667,-13.7,5617339
Chad,12.1048,15.0445,5466864
Denmark,55.6763,12.5681,5301356
Lebanon,33.8872,35.5134,5266222
Kuwait,29.3721,47.9824,4897263
Niger,13.514,2.1073,4879280
